video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Godofwar_1,sample,18.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05470000004768494
amt_gaming_vqa_dataset/Godofwar_1_1080p_1500k_av1,sample,16.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10049000000000063
amt_gaming_vqa_dataset/Godofwar_1_1080p_5000k_av1,sample,47.0,85.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.10108999990463374
amt_gaming_vqa_dataset/Godofwar_1_1080p_500k_av1,sample,5.0,78.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.0908899998569499
amt_gaming_vqa_dataset/Godofwar_1_2160p_10000k_av1,sample,31.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",6.0161900000476844
amt_gaming_vqa_dataset/Godofwar_1_2160p_1000k_av1,sample,70.0,76.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",2.0237900001907363
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_av1,sample,22.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.4841900000476844
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_av1,sample,49.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.06519000004768394
amt_gaming_vqa_dataset/Godofwar_1_720p_1300k_av1,sample,42.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07469000004768489
amt_gaming_vqa_dataset/Godofwar_1_720p_3000k_av1,sample,46.0,85.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08799000000000134
amt_gaming_vqa_dataset/Godofwar_1_720p_500k_av1,sample,39.0,84.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07378999995231617
amt_gaming_vqa_dataset/Godofwar_1_1080p_10000k_h264nvenc,sample,69.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07749000000000095
amt_gaming_vqa_dataset/Godofwar_1_1080p_2300k_h264nvenc,sample,8.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09758999990463302
amt_gaming_vqa_dataset/Godofwar_1_1080p_5300k_h264nvenc,sample,39.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07569000004768434
amt_gaming_vqa_dataset/Godofwar_1_2160p_25000k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_h264nvenc,sample,82.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1488900000953688
amt_gaming_vqa_dataset/Godofwar_1_2160p_8500k_h264nvenc,sample,51.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.15728999995231696
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_h264nvenc,sample,49.0,65.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.081589999904633
amt_gaming_vqa_dataset/Godofwar_1_720p_1000k_h264nvenc,sample,47.0,83.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.10539000009536714
amt_gaming_vqa_dataset/Godofwar_1_720p_2500k_h264nvenc,sample,82.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08169000004768456
amt_gaming_vqa_dataset/Godofwar_1_720p_5000k_h264nvenc,sample,57.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-1.7338099999523156
amt_gaming_vqa_dataset/Godofwar_1_1080p_2000k_hevcnvenc,sample,39.0,84.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07819000004768384
amt_gaming_vqa_dataset/Godofwar_1_1080p_6000k_hevcnvenc,sample,49.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08479000019073624
amt_gaming_vqa_dataset/Godofwar_1_1080p_800k_hevcnvenc,sample,57.0,87.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07508999990463394
amt_gaming_vqa_dataset/Godofwar_1_2160p_10000k_hevcnvenc,sample,31.0,77.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07828999995231634
amt_gaming_vqa_dataset/Godofwar_1_2160p_1500k_hevcnvenc,sample,94.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06979000019073567
amt_gaming_vqa_dataset/Godofwar_1_2160p_6000k_hevcnvenc,sample,0.0,80.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07718999980926533
amt_gaming_vqa_dataset/Godofwar_1_480p_800k_hevcnvenc,sample,8.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08139000009536801
amt_gaming_vqa_dataset/Godofwar_1_720p_1500k_hevcnvenc,sample,6.0,94.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.0803899998569495
amt_gaming_vqa_dataset/Godofwar_1_720p_3500k_hevcnvenc,sample,22.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08178999995231706
amt_gaming_vqa_dataset/Godofwar_1_720p_600k_hevcnvenc,sample,28.0,81.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07628999995231744
amt_gaming_vqa_dataset/MLBtheshow,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/MLBtheshow_1080p_1500k_av1,sample,21.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.10389000009536886
amt_gaming_vqa_dataset/MLBtheshow_1080p_5000k_av1,sample,78.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10869000004768381
amt_gaming_vqa_dataset/MLBtheshow_1080p_500k_av1,sample,31.0,79.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.09938999985694963
amt_gaming_vqa_dataset/MLBtheshow_2160p_10000k_av1,sample,38.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.414389999856949
amt_gaming_vqa_dataset/MLBtheshow_2160p_1000k_av1,sample,38.0,81.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",1.1426900000476845
amt_gaming_vqa_dataset/MLBtheshow_2160p_5000k_av1,sample,28.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",1.6527900001907359
amt_gaming_vqa_dataset/MLBtheshow_480p_1000k_av1,sample,45.0,78.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07369000004768367
amt_gaming_vqa_dataset/MLBtheshow_720p_1300k_av1,sample,92.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08178999995231706
amt_gaming_vqa_dataset/MLBtheshow_720p_3000k_av1,sample,83.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09108999990463396
amt_gaming_vqa_dataset/MLBtheshow_720p_500k_av1,sample,27.0,81.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.0827899999523165
amt_gaming_vqa_dataset/MLBtheshow_1080p_10000k_h264nvenc,sample,58.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",4.511590000143052
amt_gaming_vqa_dataset/MLBtheshow_1080p_2300k_h264nvenc,sample,16.0,80.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.0788900000953685
amt_gaming_vqa_dataset/MLBtheshow_1080p_5300k_h264nvenc,sample,73.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08688999985694856
amt_gaming_vqa_dataset/MLBtheshow_2160p_25000k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/MLBtheshow_2160p_5000k_h264nvenc,sample,8.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11159000014305143
amt_gaming_vqa_dataset/MLBtheshow_2160p_8500k_h264nvenc,sample,29.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1551899998092665
amt_gaming_vqa_dataset/MLBtheshow_480p_1000k_h264nvenc,sample,33.0,82.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.09359000014305252
amt_gaming_vqa_dataset/MLBtheshow_720p_1000k_h264nvenc,sample,35.0,82.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.08509000014305101
amt_gaming_vqa_dataset/MLBtheshow_720p_2500k_h264nvenc,sample,15.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08269000004768401
amt_gaming_vqa_dataset/MLBtheshow_720p_5000k_h264nvenc,sample,25.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0808900000953674
amt_gaming_vqa_dataset/MLBtheshow_1080p_2000k_hevcnvenc,sample,91.0,77.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.0801900000476845
amt_gaming_vqa_dataset/MLBtheshow_1080p_6000k_hevcnvenc,sample,55.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07588999985694933
amt_gaming_vqa_dataset/MLBtheshow_1080p_800k_hevcnvenc,sample,10.0,79.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07999000000000045
amt_gaming_vqa_dataset/MLBtheshow_2160p_10000k_hevcnvenc,sample,76.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08178999995231706
amt_gaming_vqa_dataset/MLBtheshow_2160p_1500k_hevcnvenc,sample,43.0,87.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09219000004768496
amt_gaming_vqa_dataset/MLBtheshow_2160p_6000k_hevcnvenc,sample,5.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08069000004768512
amt_gaming_vqa_dataset/MLBtheshow_480p_800k_hevcnvenc,sample,21.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08369000004768345
amt_gaming_vqa_dataset/MLBtheshow_720p_1500k_hevcnvenc,sample,70.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07999000000000045
amt_gaming_vqa_dataset/MLBtheshow_720p_3500k_hevcnvenc,sample,88.0,85.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.08569000004768412
amt_gaming_vqa_dataset/MLBtheshow_720p_600k_hevcnvenc,sample,47.0,79.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08869000004768424
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26,sample,65.0,79.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",6.457799999952316
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_1300k_av1,sample,98.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.005600000143051176
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_3000k_av1,sample,0.0,84.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.021400000095367133
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_500k_av1,sample,21.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.00969999980926417
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_1000k_h264_nvenc,sample,88.0,84.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.004899999856949222
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_2500k_h264_nvenc,sample,79.0,50.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",-0.01629999995231657
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_5000k_h264_nvenc,sample,31.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.004599999904632668
