video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/JakandDaxter,sample,67.0,72.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0836999999880792
amt_gaming_vqa_dataset/JakandDaxter_1080p_1500k_av1,sample,20.0,40.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07900000000000063
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,sample,42.0,58.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07990000000595998
amt_gaming_vqa_dataset/JakandDaxter_1080p_500k_av1,sample,24.0,18.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08549999999999969
amt_gaming_vqa_dataset/JakandDaxter_2160p_10000k_av1,sample,17.0,58.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.13250000000000028
amt_gaming_vqa_dataset/JakandDaxter_2160p_1000k_av1,sample,1.0,15.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13190000000595958
amt_gaming_vqa_dataset/JakandDaxter_2160p_5000k_av1,sample,64.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1504999999999992
amt_gaming_vqa_dataset/JakandDaxter_480p_1000k_av1,sample,9.0,17.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.06639999997615753
amt_gaming_vqa_dataset/JakandDaxter_720p_1300k_av1,sample,22.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06970000001788179
amt_gaming_vqa_dataset/JakandDaxter_720p_3000k_av1,sample,5.0,6.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07809999999403949
amt_gaming_vqa_dataset/JakandDaxter_720p_500k_av1,sample,40.0,30.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06690000000596008
