video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_2500k_h264_nvenc,sample,13.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.025288999988079652
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_2500k_h264_nvenc,sample,21.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.025288999988079652
amt_gaming_vqa_dataset/y0IsRAR6W90_WorldofWarcraft_0-12,sample,20.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.009899999976157758
amt_gaming_vqa_dataset/y0IsRAR6W90_WorldofWarcraft_0-12,sample,9.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.018600000023841545
amt_gaming_vqa_dataset/CreZ1eCfJwQ_PUBGMobile_0-00_720p_3000k_av1,sample,15.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.006999999999999673
amt_gaming_vqa_dataset/CreZ1eCfJwQ_PUBGMobile_0-00_720p_3000k_av1,sample,39.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.003400000005960635
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,81.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.007700000017880626
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,89.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0039999999999995595
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,64.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0019000000059605782
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,27.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.003899999976157531
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,31.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.02030000001192178
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,46.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.001700000017882175
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,14.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.001700000017882175
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,34.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.01709999999403955
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,20.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.041900000005959726
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,38.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0015000000000000568
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,49.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04109999999403868
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,44.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.002000000000000668
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,24.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.002000000000000668
