video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_9-43_1080p_2000k_hevc_nvenc,sample,45.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.04009999999403924
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_9-43_1080p_2000k_hevc_nvenc,sample,42.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13060000000148975
amt_gaming_vqa_dataset/y_6wR3l2xR6rY_SonicDash_3-42_480p_800k_hevc_nvenc,sample,30.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.006899999998509543
amt_gaming_vqa_dataset/y_6wR3l2xR6rY_SonicDash_3-42_480p_800k_hevc_nvenc,sample,83.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.025000000000000355
amt_gaming_vqa_dataset/kpox-roUn2w_HalfLife2_11-30_480p_1000k_av1,sample,31.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.012133000000000393
amt_gaming_vqa_dataset/kpox-roUn2w_HalfLife2_11-30_480p_1000k_av1,sample,68.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.012432999997018968
amt_gaming_vqa_dataset/R1Ed38lenw0_AngryBirds2_0-01_480p_1000k_av1,sample,18.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.006179000004470581
amt_gaming_vqa_dataset/R1Ed38lenw0_AngryBirds2_0-01_480p_1000k_av1,sample,70.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.8743210000029809
amt_gaming_vqa_dataset/R1Ed38lenw0_AngryBirds2_0-01_480p_1000k_h264_nvenc,sample,86.0,62.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.01877899999850996
amt_gaming_vqa_dataset/R1Ed38lenw0_AngryBirds2_0-01_480p_1000k_h264_nvenc,sample,18.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-7.03647900000149
amt_gaming_vqa_dataset/hsUX-McaNWg_WorldofTanks_0-19_1080p_2300k_h264_nvenc,sample,88.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.013200000002980161
amt_gaming_vqa_dataset/hsUX-McaNWg_WorldofTanks_0-19_1080p_2300k_h264_nvenc,sample,94.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0956000000014896
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,47.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.18779999999702035
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,2.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08830000000446958
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,66.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10089999999851074
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,58.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09399999999999942
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,89.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12789999999850998
