video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Sessionskatesim_2,sample,62.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11989999999850909
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_1500k_av1,sample,43.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0851899999992547
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_5000k_av1,sample,54.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04979000000074585
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_500k_av1,sample,55.0,2.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07509000000149157
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_10000k_av1,sample,26.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.16018999999925576
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_1000k_av1,sample,70.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13399000000000072
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_5000k_av1,sample,88.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15379000000074505
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_1000k_av1,sample,66.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050389999998509793
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1300k_av1,sample,97.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07529000000074504
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_3000k_av1,sample,57.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07938999999850971
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_500k_av1,sample,30.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06709000000149068
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_10000k_h264nvenc,sample,99.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09079000000074622
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_2300k_h264nvenc,sample,65.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04968999999925572
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_5300k_h264nvenc,sample,65.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.12309000000148984
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_25000k_h264nvenc,sample,55.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08329000000074593
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_5000k_h264nvenc,sample,72.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08549000000000007
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_8500k_h264nvenc,sample,54.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09718999999925515
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_1000k_h264nvenc,sample,34.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09789000000223602
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1000k_h264nvenc,sample,24.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07918999999925624
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_2500k_h264nvenc,sample,16.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07838999999851026
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_5000k_h264nvenc,sample,95.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1053900000022363
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_2000k_hevcnvenc,sample,12.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08459000000149075
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_6000k_hevcnvenc,sample,13.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07779000000074632
amt_gaming_vqa_dataset/Sessionskatesim_2_1080p_800k_hevcnvenc,sample,98.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08368999999925641
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_10000k_hevcnvenc,sample,37.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12159000000149156
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_1500k_hevcnvenc,sample,29.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050990000000000535
amt_gaming_vqa_dataset/Sessionskatesim_2_2160p_6000k_hevcnvenc,sample,79.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08189000000223601
amt_gaming_vqa_dataset/Sessionskatesim_2_480p_800k_hevcnvenc,sample,37.0,62.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07088999999850998
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_1500k_hevcnvenc,sample,61.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_3500k_hevcnvenc,sample,55.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05198999999999998
amt_gaming_vqa_dataset/Sessionskatesim_2_720p_600k_hevcnvenc,sample,9.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050389999998509793
amt_gaming_vqa_dataset/Worldofwarships_2,sample,45.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08240000000223446
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_1500k_av1,sample,22.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08329000000074593
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_5000k_av1,sample,12.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08849000000000018
amt_gaming_vqa_dataset/Worldofwarships_2_1080p_500k_av1,sample,54.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07929000000074637
amt_gaming_vqa_dataset/Worldofwarships_2_2160p_10000k_av1,sample,4.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050890000002235425
