video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Destiny2_2,sample,80.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.03130000000074595
amt_gaming_vqa_dataset/Destiny2_2_1080p_1500k_av1,sample,73.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10258999999962803
amt_gaming_vqa_dataset/Destiny2_2_1080p_5000k_av1,sample,28.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1036900000001868
amt_gaming_vqa_dataset/Destiny2_2_1080p_500k_av1,sample,85.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08369000000018723
amt_gaming_vqa_dataset/Destiny2_2_2160p_10000k_av1,sample,82.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",4.16159000000056
amt_gaming_vqa_dataset/Destiny2_2_2160p_1000k_av1,sample,9.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.0823900000003732
amt_gaming_vqa_dataset/Destiny2_2_2160p_5000k_av1,sample,64.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.139789999999815
amt_gaming_vqa_dataset/Destiny2_2_480p_1000k_av1,sample,4.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07428999999981478
amt_gaming_vqa_dataset/Destiny2_2_720p_1300k_av1,sample,26.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04868999999972168
amt_gaming_vqa_dataset/Destiny2_2_720p_3000k_av1,sample,20.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08828999999981413
amt_gaming_vqa_dataset/Destiny2_2_720p_500k_av1,sample,88.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04759000000055913
amt_gaming_vqa_dataset/Destiny2_2_1080p_10000k_h264nvenc,sample,94.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10519000000018686
amt_gaming_vqa_dataset/Destiny2_2_1080p_2300k_h264nvenc,sample,70.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08828999999981413
amt_gaming_vqa_dataset/Destiny2_2_1080p_5300k_h264nvenc,sample,91.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08089000000037316
amt_gaming_vqa_dataset/Destiny2_2_2160p_25000k_h264nvenc,sample,78.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09419000000018762
amt_gaming_vqa_dataset/Destiny2_2_2160p_5000k_h264nvenc,sample,12.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1779900000000012
amt_gaming_vqa_dataset/Destiny2_2_2160p_8500k_h264nvenc,sample,10.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.048390000000372524
amt_gaming_vqa_dataset/Destiny2_2_480p_1000k_h264nvenc,sample,63.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07718999999925558
amt_gaming_vqa_dataset/Destiny2_2_720p_1000k_h264nvenc,sample,90.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07678999999981428
amt_gaming_vqa_dataset/Destiny2_2_720p_2500k_h264nvenc,sample,36.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08549000000000007
amt_gaming_vqa_dataset/Destiny2_2_720p_5000k_h264nvenc,sample,70.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04738999999944227
amt_gaming_vqa_dataset/Destiny2_2_1080p_2000k_hevcnvenc,sample,10.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04748999999999981
amt_gaming_vqa_dataset/Destiny2_2_1080p_6000k_hevcnvenc,sample,81.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08038999999944174
amt_gaming_vqa_dataset/Destiny2_2_1080p_800k_hevcnvenc,sample,96.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09078999999981363
amt_gaming_vqa_dataset/Destiny2_2_2160p_10000k_hevcnvenc,sample,3.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.049089999999628375
amt_gaming_vqa_dataset/Destiny2_2_2160p_1500k_hevcnvenc,sample,39.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09928999999981514
amt_gaming_vqa_dataset/Destiny2_2_2160p_6000k_hevcnvenc,sample,7.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07469000000018688
amt_gaming_vqa_dataset/Destiny2_2_480p_800k_hevcnvenc,sample,11.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.048690000000187084
amt_gaming_vqa_dataset/Destiny2_2_720p_1500k_hevcnvenc,sample,93.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0713899999994414
amt_gaming_vqa_dataset/Destiny2_2_720p_3500k_hevcnvenc,sample,91.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0700899999996274
amt_gaming_vqa_dataset/Destiny2_2_720p_600k_hevcnvenc,sample,82.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07429000000074559
amt_gaming_vqa_dataset/eFootball_1,sample,76.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06349999999999945
amt_gaming_vqa_dataset/eFootball_1_1080p_1500k_av1,sample,89.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.078990000000001
amt_gaming_vqa_dataset/eFootball_1_1080p_5000k_av1,sample,84.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0948899999994417
amt_gaming_vqa_dataset/eFootball_1_1080p_500k_av1,sample,92.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08109000000055921
amt_gaming_vqa_dataset/eFootball_1_2160p_10000k_av1,sample,55.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.8533900000003722
amt_gaming_vqa_dataset/eFootball_1_2160p_1000k_av1,sample,55.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.31238999999944106
amt_gaming_vqa_dataset/eFootball_1_2160p_5000k_av1,sample,68.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.372690000000187
amt_gaming_vqa_dataset/eFootball_1_480p_1000k_av1,sample,35.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06989000000037393
amt_gaming_vqa_dataset/eFootball_1_720p_1300k_av1,sample,65.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04628999999981431
amt_gaming_vqa_dataset/eFootball_1_720p_3000k_av1,sample,37.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.046490000000000364
amt_gaming_vqa_dataset/eFootball_1_720p_500k_av1,sample,48.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07169000000018677
amt_gaming_vqa_dataset/eFootball_1_1080p_10000k_h264nvenc,sample,3.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09819000000018718
amt_gaming_vqa_dataset/eFootball_1_1080p_2300k_h264nvenc,sample,20.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10428999999981414
amt_gaming_vqa_dataset/eFootball_1_1080p_5300k_h264nvenc,sample,20.0,41.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08808999999962808
amt_gaming_vqa_dataset/eFootball_1_2160p_25000k_h264nvenc,sample,18.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1913899999994424
amt_gaming_vqa_dataset/eFootball_1_2160p_5000k_h264nvenc,sample,93.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1279900000000005
amt_gaming_vqa_dataset/eFootball_1_2160p_8500k_h264nvenc,sample,83.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15859000000009438
amt_gaming_vqa_dataset/eFootball_1_480p_1000k_h264nvenc,sample,24.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0478899999994411
amt_gaming_vqa_dataset/eFootball_1_720p_1000k_h264nvenc,sample,22.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/eFootball_1_720p_2500k_h264nvenc,sample,55.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.049090000000559186
amt_gaming_vqa_dataset/eFootball_1_720p_5000k_h264nvenc,sample,95.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0671900000001866
amt_gaming_vqa_dataset/eFootball_1_1080p_2000k_hevcnvenc,sample,60.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07258999999962867
amt_gaming_vqa_dataset/eFootball_1_1080p_6000k_hevcnvenc,sample,21.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.082690000000186
amt_gaming_vqa_dataset/eFootball_1_1080p_800k_hevcnvenc,sample,77.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07669000000018755
amt_gaming_vqa_dataset/eFootball_1_2160p_10000k_hevcnvenc,sample,83.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04988999999944177
amt_gaming_vqa_dataset/eFootball_1_2160p_1500k_hevcnvenc,sample,1.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08158999999962724
amt_gaming_vqa_dataset/eFootball_1_2160p_6000k_hevcnvenc,sample,75.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04539000000037241
amt_gaming_vqa_dataset/eFootball_1_480p_800k_hevcnvenc,sample,27.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07499000000000144
amt_gaming_vqa_dataset/eFootball_1_720p_1500k_hevcnvenc,sample,40.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04778999999981437
amt_gaming_vqa_dataset/eFootball_1_720p_3500k_hevcnvenc,sample,3.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.048690000000187084
amt_gaming_vqa_dataset/eFootball_1_720p_600k_hevcnvenc,sample,6.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08759000000009287
amt_gaming_vqa_dataset/CatQuest,sample,44.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.056900000000371875
amt_gaming_vqa_dataset/CatQuest_1080p_1500k_av1,sample,89.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08419000000018606
amt_gaming_vqa_dataset/CatQuest_1080p_5000k_av1,sample,29.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08299000000000056
amt_gaming_vqa_dataset/CatQuest_1080p_500k_av1,sample,86.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09299000000000035
amt_gaming_vqa_dataset/CatQuest_2160p_10000k_av1,sample,32.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.534390000000373
amt_gaming_vqa_dataset/CatQuest_2160p_1000k_av1,sample,29.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.046590000000559684
amt_gaming_vqa_dataset/CatQuest_2160p_5000k_av1,sample,89.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.6073900000003736
amt_gaming_vqa_dataset/CatQuest_480p_1000k_av1,sample,13.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06569000000018654
amt_gaming_vqa_dataset/CatQuest_720p_1300k_av1,sample,48.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08649000000000129
amt_gaming_vqa_dataset/CatQuest_720p_3000k_av1,sample,5.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04849000000000103
amt_gaming_vqa_dataset/CatQuest_720p_500k_av1,sample,11.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07128999999981467
amt_gaming_vqa_dataset/CatQuest_1080p_10000k_h264nvenc,sample,28.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09478999999981497
amt_gaming_vqa_dataset/CatQuest_1080p_2300k_h264nvenc,sample,60.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09949000000000119
amt_gaming_vqa_dataset/CatQuest_1080p_5300k_h264nvenc,sample,1.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04778999999981437
amt_gaming_vqa_dataset/CatQuest_2160p_25000k_h264nvenc,sample,5.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1917900000007453
amt_gaming_vqa_dataset/CatQuest_2160p_5000k_h264nvenc,sample,76.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.18949000000000105
amt_gaming_vqa_dataset/CatQuest_2160p_8500k_h264nvenc,sample,18.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.19288999999944245
amt_gaming_vqa_dataset/CatQuest_480p_1000k_h264nvenc,sample,64.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07669000000018755
amt_gaming_vqa_dataset/CatQuest_720p_1000k_h264nvenc,sample,49.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09419000000018762
amt_gaming_vqa_dataset/CatQuest_720p_2500k_h264nvenc,sample,42.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08328999999981512
amt_gaming_vqa_dataset/CatQuest_720p_5000k_h264nvenc,sample,7.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.049390000000373746
amt_gaming_vqa_dataset/CatQuest_1080p_2000k_hevcnvenc,sample,41.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07888999999944168
amt_gaming_vqa_dataset/CatQuest_1080p_6000k_hevcnvenc,sample,31.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04658999999962887
amt_gaming_vqa_dataset/CatQuest_1080p_800k_hevcnvenc,sample,0.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.046690000000186416
amt_gaming_vqa_dataset/CatQuest_2160p_10000k_hevcnvenc,sample,16.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08399000000000001
amt_gaming_vqa_dataset/CatQuest_2160p_1500k_hevcnvenc,sample,82.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0428899999999075
amt_gaming_vqa_dataset/CatQuest_2160p_6000k_hevcnvenc,sample,5.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0793899999994423
amt_gaming_vqa_dataset/CatQuest_480p_800k_hevcnvenc,sample,23.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08178999999981507
amt_gaming_vqa_dataset/CatQuest_720p_1500k_hevcnvenc,sample,97.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04979000000074585
amt_gaming_vqa_dataset/CatQuest_720p_3500k_hevcnvenc,sample,27.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07458999999962757
amt_gaming_vqa_dataset/CatQuest_720p_600k_hevcnvenc,sample,94.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07928999999981379
