video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/GPCdNgg57wU_SubwaySurfers_0-08_480p_1000k_h264_nvenc,sample,87.0,96.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.012600000023841318
amt_gaming_vqa_dataset/GPCdNgg57wU_SubwaySurfers_0-08_480p_1000k_h264_nvenc,sample,82.0,94.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.018000000000000682
amt_gaming_vqa_dataset/4fLYHpxkqSc_MarioKartTour_0-08_720p_2500k_h264_nvenc,sample,68.0,89.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.3218000000715264
amt_gaming_vqa_dataset/4fLYHpxkqSc_MarioKartTour_0-08_720p_2500k_h264_nvenc,sample,11.0,77.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09359999990463308
amt_gaming_vqa_dataset/DRDQM3rRl14_Minecraft_11-30,sample,49.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.012533000095366731
amt_gaming_vqa_dataset/DRDQM3rRl14_Minecraft_11-30,sample,9.0,88.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.015266999976159212
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_1-37_1080p_500k_av1,sample,81.0,88.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.008167000071525266
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_1-37_1080p_500k_av1,sample,20.0,86.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10116699995231748
amt_gaming_vqa_dataset/y_upjjObZ950Y_DiabloIII_31-32_480p_1000k_h264_nvenc,sample,83.0,91.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.019300000071526213
amt_gaming_vqa_dataset/y_upjjObZ950Y_DiabloIII_31-32_480p_1000k_h264_nvenc,sample,65.0,85.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09910000002384223
amt_gaming_vqa_dataset/h2iS-DyFDH0_TheSims3_3-37_720p_1300k_av1,sample,38.0,85.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.009233000023842308
amt_gaming_vqa_dataset/h2iS-DyFDH0_TheSims3_3-37_720p_1300k_av1,sample,87.0,83.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0050329999761569155
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,61.0,83.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.2077000000476836
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,98.0,73.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.016100000023842
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,54.0,75.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.077699999928475
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,7.0,85.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.126399999976158
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,74.0,84.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-4.0690999999046324
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,55.0,72.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.7752999999523169
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,78.0,93.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.1057000000476833
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,93.0,98.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.017299999952316
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,64.0,91.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.1910000000000007
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,91.0,96.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",1.1344999999999992
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,37.0,97.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.0589999999999993
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,76.0,93.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.142099999904632
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,26.0,93.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.218
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,70.0,90.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.2502999999523166
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,25.0,83.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.1128999999761575
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,91.0,84.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",1.105399999976159
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,77.0,89.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.089399999976159
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,7.0,85.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.9877999999523155
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,86.0,92.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.1854999999999993
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,34.0,85.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.8850999999046323
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,90.0,82.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.2512000000476835
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,84.0,80.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.0512000000476842
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,89.0,81.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.0112999999523158
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,65.0,84.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.0645999999046332
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,47.0,85.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.0993000000715263
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,86.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.9356000000238414
