video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/terraria_2160p_1000k_av1,sample,74.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.16689000003576382
amt_gaming_vqa_dataset/terraria_2160p_1000k_av1,sample,61.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14488999997615792
amt_gaming_vqa_dataset/Crossout_1080p_10000k_h264nvenc,sample,94.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0705900000238433
amt_gaming_vqa_dataset/Crossout_1080p_10000k_h264nvenc,sample,18.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0837900000119216
amt_gaming_vqa_dataset/Crossout_2160p_25000k_h264nvenc,sample,94.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.051490000000001146
amt_gaming_vqa_dataset/Crossout_2160p_25000k_h264nvenc,sample,16.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.003389999976159
amt_gaming_vqa_dataset/Crossout_1080p_6000k_hevcnvenc,sample,19.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050889999976158506
amt_gaming_vqa_dataset/Crossout_1080p_6000k_hevcnvenc,sample,58.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08168999998807891
amt_gaming_vqa_dataset/Destiny2_1_1080p_10000k_h264nvenc,sample,31.0,75.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07859000002384242
amt_gaming_vqa_dataset/Destiny2_1_1080p_10000k_h264nvenc,sample,30.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13699000000000083
amt_gaming_vqa_dataset/Destiny2_1_2160p_1500k_hevcnvenc,sample,29.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05059000002384195
amt_gaming_vqa_dataset/Destiny2_1_2160p_1500k_hevcnvenc,sample,60.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11268999998807949
