video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,30.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13828999999702063
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,36.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07499000000000144
amt_gaming_vqa_dataset/Genshinimpact_2_480p_800k_hevcnvenc,sample,89.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/Genshinimpact_2_480p_800k_hevcnvenc,sample,26.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.7734900000000007
amt_gaming_vqa_dataset/Daysgone_2_1080p_2300k_h264nvenc,sample,60.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10889999999850986
amt_gaming_vqa_dataset/Daysgone_2_1080p_2300k_h264nvenc,sample,54.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11360000000149029
amt_gaming_vqa_dataset/Hogwartslegacy_2_1080p_5000k_av1,sample,24.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08369000000298144
amt_gaming_vqa_dataset/Hogwartslegacy_2_1080p_5000k_av1,sample,58.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09049000000000085
amt_gaming_vqa_dataset/Hogwartslegacy_2_2160p_10000k_av1,sample,55.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07359000000149152
amt_gaming_vqa_dataset/Hogwartslegacy_2_2160p_10000k_av1,sample,94.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.22329000000447152
amt_gaming_vqa_dataset/Hogwartslegacy_2_720p_1000k_h264nvenc,sample,68.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08399000000000001
amt_gaming_vqa_dataset/Hogwartslegacy_2_720p_1000k_h264nvenc,sample,23.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08879000000447057
