video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41,sample,49.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",2.057316999904632
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_1300k_av1,sample,39.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.15451700007152525
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_3000k_av1,sample,97.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.1170170000715256
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_500k_av1,sample,87.0,92.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.20131700002384179
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_1000k_h264_nvenc,sample,89.0,93.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.3731169999761583
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_2500k_h264_nvenc,sample,92.0,97.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.3603170000238425
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_5000k_h264_nvenc,sample,69.0,77.0,"['Highly Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.4289169999284752
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_1500k_hevc_nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_3500k_hevc_nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/gvU2wTK3h94_IceAgeVillage_8-41_720p_600k_hevc_nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/DlFrlfom9uk_WorldofWarcraft_34-05,sample,3.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",20.9035
amt_gaming_vqa_dataset/DlFrlfom9uk_WorldofWarcraft_34-05_1080p_1500k_av1,sample,92.0,96.0,"['Moderately Clear', 'Severe Artifacts Present', 'High level of immersion', '']",0.8427000000476834
