video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Kenabridgeofspirits_1,sample,54.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1517999999998132
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_1500k_av1,sample,19.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.054990000000000094
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_5000k_av1,sample,20.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04849000000000103
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_500k_av1,sample,78.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06889000000037271
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_av1,sample,63.0,77.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.534289999999814
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_1000k_av1,sample,47.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.180009999999999
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_5000k_av1,sample,66.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",4.432490000000001
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_1000k_av1,sample,20.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04898999999999987
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1300k_av1,sample,26.0,77.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04999000000000109
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_3000k_av1,sample,82.0,75.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07478999999981362
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_500k_av1,sample,71.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09169000000018634
