video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Daysgone_1,sample,96.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",6.7832000000476835
amt_gaming_vqa_dataset/Daysgone_1_1080p_1500k_av1,sample,62.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10178999995231663
amt_gaming_vqa_dataset/Daysgone_1_1080p_5000k_av1,sample,92.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11399000000000115
amt_gaming_vqa_dataset/Daysgone_1_1080p_500k_av1,sample,48.0,32.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10169000004768414
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_av1,sample,50.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",7.094990000000001
amt_gaming_vqa_dataset/Daysgone_1_2160p_1000k_av1,sample,95.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.83088999985695
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_av1,sample,45.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",7.564590000143051
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_av1,sample,54.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06648999999999994
amt_gaming_vqa_dataset/Daysgone_1_720p_1300k_av1,sample,7.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07619000004768495
amt_gaming_vqa_dataset/Daysgone_1_720p_3000k_av1,sample,16.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10489000009536831
amt_gaming_vqa_dataset/Daysgone_1_720p_500k_av1,sample,50.0,37.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07978999995231639
amt_gaming_vqa_dataset/Daysgone_1_1080p_10000k_h264nvenc,sample,97.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07609000014305245
amt_gaming_vqa_dataset/Daysgone_1_1080p_2300k_h264nvenc,sample,24.0,39.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09478999995231696
amt_gaming_vqa_dataset/Daysgone_1_1080p_5300k_h264nvenc,sample,67.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08039000009536856
amt_gaming_vqa_dataset/Daysgone_1_2160p_25000k_h264nvenc,sample,23.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15758999990463352
amt_gaming_vqa_dataset/Daysgone_1_2160p_5000k_h264nvenc,sample,14.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.052390000095368094
amt_gaming_vqa_dataset/Daysgone_1_2160p_8500k_h264nvenc,sample,21.0,37.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13958999990463283
amt_gaming_vqa_dataset/Daysgone_1_480p_1000k_h264nvenc,sample,91.0,46.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06308999990463349
amt_gaming_vqa_dataset/Daysgone_1_720p_1000k_h264nvenc,sample,22.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08999000000000024
amt_gaming_vqa_dataset/Daysgone_1_720p_2500k_h264nvenc,sample,9.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05038999985695014
amt_gaming_vqa_dataset/Daysgone_1_720p_5000k_h264nvenc,sample,17.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0659900000000011
amt_gaming_vqa_dataset/Daysgone_1_1080p_2000k_hevcnvenc,sample,8.0,47.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10669000004768492
amt_gaming_vqa_dataset/Daysgone_1_1080p_6000k_hevcnvenc,sample,35.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05108999990463303
amt_gaming_vqa_dataset/Daysgone_1_1080p_800k_hevcnvenc,sample,42.0,44.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06278999995231693
amt_gaming_vqa_dataset/Daysgone_1_2160p_10000k_hevcnvenc,sample,12.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09978999995231774
amt_gaming_vqa_dataset/Daysgone_1_2160p_1500k_hevcnvenc,sample,42.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050390000095367427
amt_gaming_vqa_dataset/Daysgone_1_2160p_6000k_hevcnvenc,sample,24.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09319000004768441
amt_gaming_vqa_dataset/Daysgone_1_480p_800k_hevcnvenc,sample,44.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0790899999046335
amt_gaming_vqa_dataset/Daysgone_1_720p_1500k_hevcnvenc,sample,13.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07279000019073578
amt_gaming_vqa_dataset/Daysgone_1_720p_3500k_hevcnvenc,sample,19.0,57.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050990000000000535
amt_gaming_vqa_dataset/Daysgone_1_720p_600k_hevcnvenc,sample,5.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08529000019073507
amt_gaming_vqa_dataset/Genshinimpact_1,sample,15.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.7370000000000001
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_1500k_av1,sample,7.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08859000014305174
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_5000k_av1,sample,84.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12908999990463244
amt_gaming_vqa_dataset/Genshinimpact_1_1080p_500k_av1,sample,42.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07569000004768434
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_10000k_av1,sample,39.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",6.282190000047683
amt_gaming_vqa_dataset/Genshinimpact_1_2160p_1000k_av1,sample,41.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.46169000004768357
