video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/terraria_1080p_5300k_h264nvenc,sample,48.0,66.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",5.95599
amt_gaming_vqa_dataset/terraria_1080p_5300k_h264nvenc,sample,81.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09698999999999991
amt_gaming_vqa_dataset/terraria_2160p_6000k_hevcnvenc,sample,58.0,64.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050990000000000535
amt_gaming_vqa_dataset/terraria_2160p_6000k_hevcnvenc,sample,34.0,56.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04999000000000109
amt_gaming_vqa_dataset/Crossout_1080p_5300k_h264nvenc,sample,71.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.11599000000000004
amt_gaming_vqa_dataset/Crossout_1080p_5300k_h264nvenc,sample,37.0,61.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.7849900000000005
amt_gaming_vqa_dataset/Crossout_720p_5000k_h264nvenc,sample,34.0,60.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07399000000000022
amt_gaming_vqa_dataset/Crossout_720p_5000k_h264nvenc,sample,90.0,66.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07798999999999978
amt_gaming_vqa_dataset/Destiny2_1_1080p_2000k_hevcnvenc,sample,0.0,57.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07199000000000133
amt_gaming_vqa_dataset/Destiny2_1_1080p_2000k_hevcnvenc,sample,53.0,56.0,"['Highly Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.05899000000000143
amt_gaming_vqa_dataset/Destiny2_1_720p_3500k_hevcnvenc,sample,33.0,51.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.06999000000000066
amt_gaming_vqa_dataset/Destiny2_1_720p_3500k_hevcnvenc,sample,42.0,65.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",-5.04801
