video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Returnal_2_480p_1000k_av1,sample,58.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/Returnal_2_480p_1000k_av1,sample,46.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06878999999702096
amt_gaming_vqa_dataset/Doom_2160p_1000k_av1,sample,20.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.15078999999701992
amt_gaming_vqa_dataset/Doom_2160p_1000k_av1,sample,32.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.19639000000596063
amt_gaming_vqa_dataset/Doom_2160p_5000k_av1,sample,68.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13758999999403976
amt_gaming_vqa_dataset/Doom_2160p_5000k_av1,sample,27.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15728999999702076
amt_gaming_vqa_dataset/Doom_2160p_5000k_h264nvenc,sample,33.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",3.992390000005962
amt_gaming_vqa_dataset/Doom_2160p_5000k_h264nvenc,sample,49.0,37.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",4.594990000000001
amt_gaming_vqa_dataset/Doom_2160p_8500k_h264nvenc,sample,84.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",4.193890000005961
amt_gaming_vqa_dataset/Doom_2160p_8500k_h264nvenc,sample,6.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",4.752190000002981
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,62.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10140000000595961
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,29.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08890000000596032
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,29.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10040000000596017
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,55.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09209999999403884
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,48.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13720000000298072
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,55.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08809999999403928
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,68.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0965000000000007
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,23.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10809999999403885
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,13.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11360000000894033
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,51.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11409999999403908
