video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deadspace,sample,33.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.02539999985694763
amt_gaming_vqa_dataset/Deadspace_1080p_1500k_av1,sample,62.0,23.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.059490000000000265
amt_gaming_vqa_dataset/Deadspace_1080p_5000k_av1,sample,15.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07219000004768361
amt_gaming_vqa_dataset/Deadspace_1080p_500k_av1,sample,87.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08439000009536812
amt_gaming_vqa_dataset/Deadspace_2160p_10000k_av1,sample,28.0,37.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.4062899999523175
amt_gaming_vqa_dataset/Deadspace_2160p_1000k_av1,sample,43.0,32.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08758999990463323
amt_gaming_vqa_dataset/Deadspace_2160p_5000k_av1,sample,37.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09608999990463296
amt_gaming_vqa_dataset/Deadspace_480p_1000k_av1,sample,16.0,15.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.04419000004768492
amt_gaming_vqa_dataset/Deadspace_720p_1300k_av1,sample,20.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06038999985694993
amt_gaming_vqa_dataset/Deadspace_720p_3000k_av1,sample,50.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08068999980926606
amt_gaming_vqa_dataset/Deadspace_720p_500k_av1,sample,17.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05709000014305232
amt_gaming_vqa_dataset/Deadspace_1080p_10000k_h264nvenc,sample,83.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08819000004768363
