video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Hogwartslegacy_1,sample,51.0,61.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-8.32530000001192
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_1500k_av1,sample,27.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.701009999999999
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_5000k_av1,sample,73.0,62.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.44201
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_500k_av1,sample,81.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.78501
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_10000k_av1,sample,14.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-5.299409999976158
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_1000k_av1,sample,14.0,35.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-7.059410000035762
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_5000k_av1,sample,30.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-5.230610000023841
amt_gaming_vqa_dataset/Hogwartslegacy_1_480p_1000k_av1,sample,11.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.781309999952316
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_1300k_av1,sample,6.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.112909999976157
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_3000k_av1,sample,70.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-7.2398100000119205
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_500k_av1,sample,91.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.757610000023841
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_10000k_h264nvenc,sample,36.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-1.1692099999880785
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_2300k_h264nvenc,sample,91.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.985209999988078
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_5300k_h264nvenc,sample,14.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-6.584709999988078
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_25000k_h264nvenc,sample,22.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",19.22729000001192
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_5000k_h264nvenc,sample,8.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-4.182909999976157
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_8500k_h264nvenc,sample,18.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.6024900000000013
amt_gaming_vqa_dataset/Hogwartslegacy_1_480p_1000k_h264nvenc,sample,65.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.03681000001192
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_1000k_h264nvenc,sample,49.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.855110000023841
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_2500k_h264nvenc,sample,41.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-6.732009999999999
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_5000k_h264nvenc,sample,54.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-6.634410000035762
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_2000k_hevcnvenc,sample,56.0,61.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.55301
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_6000k_hevcnvenc,sample,5.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-7.5290099999999995
amt_gaming_vqa_dataset/Hogwartslegacy_1_1080p_800k_hevcnvenc,sample,56.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.0049099999761575
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_10000k_hevcnvenc,sample,26.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.939210000047684
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_1500k_hevcnvenc,sample,22.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.670210000047684
amt_gaming_vqa_dataset/Hogwartslegacy_1_2160p_6000k_hevcnvenc,sample,71.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.185509999999999
amt_gaming_vqa_dataset/Hogwartslegacy_1_480p_800k_hevcnvenc,sample,70.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.688310000011921
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_1500k_hevcnvenc,sample,78.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.94731000001192
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_3500k_hevcnvenc,sample,34.0,60.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-3.704610000023841
amt_gaming_vqa_dataset/Hogwartslegacy_1_720p_600k_hevcnvenc,sample,4.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.721810000011921
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2,sample,66.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-4.148
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_1080p_1500k_av1,sample,29.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-8.019200000047684
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_1080p_5000k_av1,sample,50.0,60.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-8.0685
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_1080p_500k_av1,sample,84.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-4.7725
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_2160p_10000k_av1,sample,80.0,66.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.1108000000119205
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_2160p_1000k_av1,sample,25.0,33.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-4.366100000023842
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_2160p_5000k_av1,sample,0.0,60.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-4.887700000047683
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_480p_1000k_av1,sample,2.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-2.3259000000357624
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_720p_1300k_av1,sample,10.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-4.788
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_720p_3000k_av1,sample,76.0,38.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-6.302899999976159
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_720p_500k_av1,sample,22.0,6.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.977300000011921
amt_gaming_vqa_dataset/Assassiancreedvalhalla_2_1080p_10000k_h264nvenc,sample,71.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.917099999964238
