WorkerId,AssignmentId,Reasons,Rejections
A2XJH3WC02RMXQ,31HQ4X3T4J1AIQ39ZPTOTWA0GYUSLK,The scores for repeated videos are not consistent (3 > 2),1.0
A3KGCURZJ02L3,3GM6G9ZBLEOV38Y9O1ZT3ELBHTBTM2/3GM6G9ZBLEOV38Y9O1ZT3ELBHTBTM2,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=69Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",2.0
A1G1W9YIHATY4R,3AMYWKA6Z2DD1D89546DK8I2R7G6OR/3AMYWKA6Z2DD1D89546DK8I2R7G6OR,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=25Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",2.0
A2SKY317RZ3NCS,3WMINLGAM2UDFQN95CEY5DQ7YCIACJ/3WMINLGAM2UDFQN95CEY5DQ7YCIACJ,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=24Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",2.0
A2RAXDXAJ13EYX,3F0BG9B9NGE8ZRQGU1K3SDG00SS7YV/3F0BG9B9NGE8ZRQGU1K3SDG00SS7YV,"Too many unset video ratings (31 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
ABKYJJD0ZK291,32SCWG5HJ8VVMDKAK4JS98NS2Q4P6C/32SCWG5HJ8VVMDKAK4JS98NS2Q4P6C,The scores for repeated videos are not consistent (4 > 3)The scores for repeated videos are not consistent.,2.0
A34CR7V78JGBIO,3TE22NPXQ23VIXUD3WYP9CSJF3144E/3TE22NPXQ23VIXUD3WYP9CSJF3144E,"Too many unset video ratings (32 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
AZ1DD8SXABVY1,3137ONMDL7WTMFKQN3C3RN1DHJOGEA/3137ONMDL7WTMFKQN3C3RN1DHJOGEA,"Too many unset video ratings (14 > 10)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
AL76RQMDB7YKY,3YW4XOSQLHCD7WR9VK65OIJA1IX1UA/3YW4XOSQLHCD7WR9VK65OIJA1IX1UA,"Too many unset video ratings (14 > 10)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
AH0NG7PISCRNQ,3X4JMASXDD0Y48XLZALA5N8C8KB0BB/3X4JMASXDD0Y48XLZALA5N8C8KB0BB,"Too many unset video ratings (31 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A12B9W69X0BQBF,34HJIJKLQWNUCADSNSZCI2SWR9L4VK/34HJIJKLQWNUCADSNSZCI2SWR9L4VK,"Too many unset video ratings (32 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
AW338AT1TPG6H,3X3OR7WP0QRSZ6O0LRNJC5AZ2YUL86/3X3OR7WP0QRSZ6O0LRNJC5AZ2YUL86,"Too many unset video ratings (32 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
AXZJKFM3BSX5Y,3X31TUMD8ODAO64FM6E4XVNROROL1K/3X31TUMD8ODAO64FM6E4XVNROROL1K,"Too many unset video ratings (31 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
ANM0HE7ZQO0AL,3JNQLM5FUVDHDRMB5AEI2EXWGXG2LW/3JNQLM5FUVDHDRMB5AEI2EXWGXG2LW,"Too many unset video ratings (32 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A382IYPJDT9UV6,3D3VGR7TBR6H17D7EUPJ70BNS403RV/3D3VGR7TBR6H17D7EUPJ70BNS403RV,"Too many unset video ratings (32 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A28HQQPBN2MUNR,3XUHV3NRWBP7QSM8W81I8T71LXX5H8/3XUHV3NRWBP7QSM8W81I8T71LXX5H8,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=51Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",2.0
AI7B82OSX87GD,308Q0PEVCZ4QNAZ45GWKKLDI6DE9IS/308Q0PEVCZ4QNAZ45GWKKLDI6DE9IS,"Too many unset video ratings (28 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
ASAMJC3EOZ9XE,39ZSFO5CBZNK2D7DL9CBSIFWWDNUJQ/39ZSFO5CBZNK2D7DL9CBSIFWWDNUJQ,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=61Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion",2.0
