video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_2160p_1000k_av1,sample,7.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05029000000074646
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_2160p_1000k_av1,sample,57.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.045490000000001
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_720p_600k_hevcnvenc,sample,29.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05029000000074646
amt_gaming_vqa_dataset/Assettocorsecompetizione_2_720p_600k_hevcnvenc,sample,17.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0751900000011183
amt_gaming_vqa_dataset/Astroysplayroom_1_720p_1300k_av1,sample,9.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-5.950209999999254
amt_gaming_vqa_dataset/Astroysplayroom_1_720p_1300k_av1,sample,18.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-3.54811000000149
amt_gaming_vqa_dataset/Astroysplayroom_1_480p_1000k_h264nvenc,sample,69.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0680899999996285
amt_gaming_vqa_dataset/Astroysplayroom_1_480p_1000k_h264nvenc,sample,81.0,45.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.207609999999627
amt_gaming_vqa_dataset/Astroysplayroom_1_720p_5000k_h264nvenc,sample,98.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06729000000074592
amt_gaming_vqa_dataset/Astroysplayroom_1_720p_5000k_h264nvenc,sample,3.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05399000000000065
amt_gaming_vqa_dataset/Fallout4_2_1080p_500k_av1,sample,73.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050389999998509793
amt_gaming_vqa_dataset/Fallout4_2_1080p_500k_av1,sample,75.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08069000000111792
