AssignmentId,HITId,WorkerId,Sample_Row_Name,Sample_Row_Index,Approve,Reject
3TYCR1GOU3A7J2PNUHNWPP731RBLZP,3BKZLF991PQGIPX10YO84K104MXYQA,ARDWEH44JGLLM,row_0,0,,"all slider ratings are very similar, the slider moved to same range of scores. | The scores for golden videos are not consistent with the true scores. | Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Severe Artifacts Present, Immersion=Moderate level of immersion with count=86"
37C0GNLMI6UMXGHKFVSX9E63NEID6G,3BKZLF991PQGIPX10YO84K104MXYQA,A1477E54Q7AA4J,row_0,0,,"all slider ratings are very similar, the slider moved to same range of scores. | The scores for golden videos are not consistent with the true scores. | Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Severe Artifacts Present, Immersion=Moderate level of immersion with count=76"
3VJ40NV2R9EJ3BJL1HE6VIAGB07OT6,3BKZLF991PQGIPX10YO84K104MXYQA,A3PFV1UMF7FJ6S,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=93"
37XITHEITN05E79Q7N0K03FHY1MRCU,3BKZLF991PQGIPX10YO84K104MXYQA,A34D1LAUUQZCRT,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=53"
3MYYFCXHKUYBUDNXYX0QI1PM4F5G4L,3BKZLF991PQGIPX10YO84K104MXYQA,A1N63NKTHGO2TF,row_0,0,,"all slider ratings are very similar, the slider moved to same range of scores. | Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=94"
3S96KQ6IADVSZESWB80QKOYH7M7TDL,3BKZLF991PQGIPX10YO84K104MXYQA,A32YOD79DL837P,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=No visible artifacts, Immersion=Moderate level of immersion with count=85"
3VELCLL3HBAOOEUJ0VB62II7RG7F1K,30IRMPJWEPALALNK9YCH02WU2TQRK9,A9O1U0B4GS6UR,row_0,0,,"all slider ratings are very similar, the slider moved to same range of scores. | Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=Moderate level of immersion with count=54"
37XITHEITN05E79Q7N0K03FHY1IRCQ,30IRMPJWEPALALNK9YCH02WU2TQRK9,A3PFV1UMF7FJ6S,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=61"
3T111IHZ65H3G92NV3QTYDE9SGGR9A,30IRMPJWEPALALNK9YCH02WU2TQRK9,A365E9HTM3WK5B,row_0,0,,The scores for golden videos are not consistent with the true scores.
384PI804YJSXLUENAW75VCICBEVS0D,30IRMPJWEPALALNK9YCH02WU2TQRK9,A4M2H0ONHCMC,row_0,0,,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=83"
3XIQGXAUN3ZJZM06P5Y19Z9RY73X7Q,30IRMPJWEPALALNK9YCH02WU2TQRK9,A1689LPUF6HS1A,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=57"
3SKRO2GZ8SIZ40MX1623IVACZC21KM,30IRMPJWEPALALNK9YCH02WU2TQRK9,ASFCKRTAQMR2J,row_0,0,,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=53"
38F71OA9HKNLK3G8THU4MA6APRNMFK,30IRMPJWEPALALNK9YCH02WU2TQRK9,A1477E54Q7AA4J,row_0,0,,"all slider ratings are very similar, the slider moved to same range of scores. | Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Severe Artifacts Present, Immersion=Moderate level of immersion with count=88"
3F6KKYWMO2SU41NCECEEBPSPI4WNDP,3X2LT8FDIM96NG25Z3PKXWVKZ8C8WB,A16MEV9DI9VMAW,row_0,0,,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=61"
3L6L49WXXRODEGYDH1HZE4YXE6E54F,3X2LT8FDIM96NG25Z3PKXWVKZ8C8WB,AZA7SZX07VZ38,row_0,0,,The delays in video ratings are too high (48 > 40)
3TPZPLC3NR3WPUXS12LU25B8R6I3PD,3X2LT8FDIM96NG25Z3PKXWVKZ8C8WB,AXZJKFM3BSX5Y,row_0,0,,The scores for golden videos are not consistent with the true scores.
3S96KQ6IADVSZESWB80QKOYH7MSDTQ,3X2LT8FDIM96NG25Z3PKXWVKZ8C8WB,A1JDPMVFB8HNMH,row_0,0,,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=66"
3A1COHJ8OAMQDA5AU68LKDHSL118H6,34YWR3PJ3Y13UR2SE48R6039PC60X9,A1477E54Q7AA4J,row_0,0,,"all slider ratings are very similar, the slider moved to same range of scores."
323Q6SJS997ZSPFX2KERU5YE85GHFY,34YWR3PJ3Y13UR2SE48R6039PC60X9,A2ZM1X4W5OBSRW,row_0,0,,The scores for golden videos are not consistent with the true scores.
3KXIR214JV7LFJFQZIF1GXVLUWN24B,34YWR3PJ3Y13UR2SE48R6039PC60X9,A1GQKCTY2N75DH,row_0,0,,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=54"
