video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00,sample,21.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.061500000000000554
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_1300k_av1,sample,46.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.00020000004768405688
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_3000k_av1,sample,25.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.013099999904632398
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_500k_av1,sample,47.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.002300000190734508
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_1000k_h264_nvenc,sample,67.0,26.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.016400000095368128
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_2500k_h264_nvenc,sample,38.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.013600000143050295
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_5000k_h264_nvenc,sample,79.0,83.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.0221000001430518
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_1500k_hevc_nvenc,sample,32.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.013899999856949563
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_3500k_hevc_nvenc,sample,93.0,83.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.037199999809265805
amt_gaming_vqa_dataset/Nq13U3DXt2U_Myst_35-00_720p_600k_hevc_nvenc,sample,45.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0039999999999995595
amt_gaming_vqa_dataset/y_5ksFZIlktBY_Minecraft_58-40_480p_1000k_av1,sample,64.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.00040000009536811376
amt_gaming_vqa_dataset/y_5ksFZIlktBY_Minecraft_58-40_480p_1000k_h264_nvenc,sample,86.0,44.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.025000000000000355
amt_gaming_vqa_dataset/y_5ksFZIlktBY_Minecraft_58-40_480p_800k_hevc_nvenc,sample,54.0,81.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.003899999856948
amt_gaming_vqa_dataset/lNmyW_abRQs_WorldofWarcraft_0-21,sample,89.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.012300000190734295
amt_gaming_vqa_dataset/AfRkzHvr2c4_CitiesSkylines_8-19,sample,69.0,37.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.011799999952316398
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_10-27_480p_1000k_av1,sample,56.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0037000000476830053
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_10-27_480p_1000k_h264_nvenc,sample,92.0,81.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.006700000047683119
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_10-27_480p_800k_hevc_nvenc,sample,23.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.0007999999523171653
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05,sample,45.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1133999998569486
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_1500k_av1,sample,17.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.018200000047682963
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_5000k_av1,sample,51.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.017799999952316625
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_500k_av1,sample,1.0,78.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.006400000095366565
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_10000k_h264_nvenc,sample,7.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0007000000476828916
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_2300k_h264_nvenc,sample,91.0,72.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.00010000014305155958
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_5300k_h264_nvenc,sample,9.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.025099999904632853
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_2000k_hevc_nvenc,sample,59.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.00010000014305155958
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_6000k_hevc_nvenc,sample,89.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.0039999999999995595
amt_gaming_vqa_dataset/v86eGfgYN4g_WarRobots_2-05_1080p_800k_hevc_nvenc,sample,52.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.03359999990463258
amt_gaming_vqa_dataset/2hRQj7qbY08_HalfLife2_9-32,sample,15.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.010600000143051957
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02,sample,21.0,37.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.01810000014305224
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_1300k_av1,sample,42.0,40.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.012299999952315233
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_3000k_av1,sample,32.0,35.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.0022000000476829484
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_500k_av1,sample,13.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.002000000000000668
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_1000k_h264_nvenc,sample,94.0,40.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.0037999999523155026
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_2500k_h264_nvenc,sample,88.0,28.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.010900000095366735
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_5000k_h264_nvenc,sample,69.0,23.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.026200000047683858
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_1500k_hevc_nvenc,sample,21.0,40.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.01759999990463257
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_3500k_hevc_nvenc,sample,81.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.0063000001907340675
amt_gaming_vqa_dataset/HiLctOW-3bU_CitiesSkylines_18-02_720p_600k_hevc_nvenc,sample,50.0,23.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.0003000001907338401
amt_gaming_vqa_dataset/KrQ4bNQlPk8_GuildWars_1-00,sample,57.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.038466999904633425
amt_gaming_vqa_dataset/KrQ4bNQlPk8_GuildWars_1-00_720p_1300k_av1,sample,4.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.003632999999998887
amt_gaming_vqa_dataset/KrQ4bNQlPk8_GuildWars_1-00_720p_3000k_av1,sample,67.0,72.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.005766999856948729
amt_gaming_vqa_dataset/KrQ4bNQlPk8_GuildWars_1-00_720p_500k_av1,sample,87.0,37.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.0034329999523166066
