video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_5300k_h264nvenc,sample,72.0,75.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07599000000000089
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_5300k_h264nvenc,sample,88.0,83.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07648999999999972
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_3500k_hevcnvenc,sample,49.0,3.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_3500k_hevcnvenc,sample,75.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050990000000000535
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_1080p_5000k_av1,sample,10.0,78.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10508999999776591
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_1080p_5000k_av1,sample,45.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10549000000000142
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_2160p_10000k_av1,sample,88.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.21708999999776601
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_2160p_10000k_av1,sample,92.0,77.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.20978999999702097
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_720p_5000k_h264nvenc,sample,91.0,71.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",-1.0956100000014892
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_720p_5000k_h264nvenc,sample,82.0,72.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0701899999992559
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_480p_800k_hevcnvenc,sample,88.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05659000000149028
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_480p_800k_hevcnvenc,sample,68.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05659000000149028
