video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_2500k_h264_nvenc,sample,75.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.017467000000094046
amt_gaming_vqa_dataset/2YwKJ3x3Nq8_IceAgeVillage_1-24_720p_2500k_h264_nvenc,sample,42.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.02116699999981364
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30,sample,46.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03506699999972085
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30,sample,54.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06146700000009275
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05,sample,63.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04023600000009431
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05,sample,9.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04493599999981335
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_2500k_h264_nvenc,sample,98.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.063236000000094
amt_gaming_vqa_dataset/1HHTJI-GSiI_CallofDutyMobile_0-05_720p_2500k_h264_nvenc,sample,44.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.18413600000000052
amt_gaming_vqa_dataset/ntaUAdkKZbM_RollerCoasterTycoon3_0-44_1080p_5000k_av1,sample,58.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.025699999999719836
amt_gaming_vqa_dataset/ntaUAdkKZbM_RollerCoasterTycoon3_0-44_1080p_5000k_av1,sample,93.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.007800000000745655
amt_gaming_vqa_dataset/MLi-ujBlSMI_GarrysMod_0-45_1080p_5300k_h264_nvenc,sample,64.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.025700000000187018
amt_gaming_vqa_dataset/MLi-ujBlSMI_GarrysMod_0-45_1080p_5300k_h264_nvenc,sample,40.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.22870000000018642
