video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Ghostoftsushima_2,sample,90.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06950000000000145
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_1500k_av1,sample,90.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09658999999776618
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_5000k_av1,sample,88.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10429000000074495
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_500k_av1,sample,46.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08938999999851127
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_10000k_av1,sample,77.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.2551899999992564
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_1000k_av1,sample,46.0,3.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.9637900000007456
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_5000k_av1,sample,11.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.4701899999992563
amt_gaming_vqa_dataset/Ghostoftsushima_2_480p_1000k_av1,sample,57.0,37.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06799
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_1300k_av1,sample,55.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0721899999992548
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_3000k_av1,sample,27.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11179000000074524
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_500k_av1,sample,71.0,3.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07118999999925535
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_10000k_h264nvenc,sample,76.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_2300k_h264nvenc,sample,50.0,3.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0700900000014908
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_5300k_h264nvenc,sample,77.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.076089999997766
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_25000k_h264nvenc,sample,72.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14388999999851038
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_5000k_h264nvenc,sample,61.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07488999999851131
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_8500k_h264nvenc,sample,62.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10879000000074512
amt_gaming_vqa_dataset/Ghostoftsushima_2_480p_1000k_h264nvenc,sample,59.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07269000000298043
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_1000k_h264nvenc,sample,15.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07158999999776583
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_2500k_h264nvenc,sample,12.0,36.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04968999999925572
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_5000k_h264nvenc,sample,32.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0638899999985103
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_2000k_hevcnvenc,sample,95.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07319000000298104
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_6000k_hevcnvenc,sample,95.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050790000000745295
