video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Deadspace,sample,81.0,73.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05799999999999983
amt_gaming_vqa_dataset/Deadspace_1080p_1500k_av1,sample,55.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08638999999851116
amt_gaming_vqa_dataset/Deadspace_1080p_5000k_av1,sample,82.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09279000000074511
amt_gaming_vqa_dataset/Deadspace_1080p_500k_av1,sample,38.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08449000000000062
amt_gaming_vqa_dataset/Deadspace_2160p_10000k_av1,sample,3.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.14199
amt_gaming_vqa_dataset/Deadspace_2160p_1000k_av1,sample,97.0,39.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.964790000000745
amt_gaming_vqa_dataset/Deadspace_2160p_5000k_av1,sample,20.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.792589999997766
amt_gaming_vqa_dataset/Deadspace_480p_1000k_av1,sample,86.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0642900000007458
amt_gaming_vqa_dataset/Deadspace_720p_1300k_av1,sample,54.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07358999999776472
amt_gaming_vqa_dataset/Deadspace_720p_3000k_av1,sample,75.0,98.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08849000000000018
amt_gaming_vqa_dataset/Deadspace_720p_500k_av1,sample,99.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06568999999925573
amt_gaming_vqa_dataset/Deadspace_1080p_10000k_h264nvenc,sample,10.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08059000000149119
amt_gaming_vqa_dataset/Deadspace_1080p_2300k_h264nvenc,sample,40.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06149000000000093
amt_gaming_vqa_dataset/Deadspace_1080p_5300k_h264nvenc,sample,43.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08088999999850977
amt_gaming_vqa_dataset/Deadspace_2160p_25000k_h264nvenc,sample,20.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08499000000000123
amt_gaming_vqa_dataset/Deadspace_2160p_5000k_h264nvenc,sample,37.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14749000000000123
amt_gaming_vqa_dataset/Deadspace_2160p_8500k_h264nvenc,sample,41.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05639000000223504
amt_gaming_vqa_dataset/Deadspace_480p_1000k_h264nvenc,sample,31.0,2.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07299000000000078
amt_gaming_vqa_dataset/Deadspace_720p_1000k_h264nvenc,sample,30.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07049000000000127
amt_gaming_vqa_dataset/Deadspace_720p_2500k_h264nvenc,sample,11.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-1.5622099999992543
amt_gaming_vqa_dataset/Deadspace_720p_5000k_h264nvenc,sample,85.0,97.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07648999999999972
amt_gaming_vqa_dataset/Deadspace_1080p_2000k_hevcnvenc,sample,62.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07238999999851004
amt_gaming_vqa_dataset/Deadspace_1080p_6000k_hevcnvenc,sample,18.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07249000000000017
amt_gaming_vqa_dataset/Deadspace_1080p_800k_hevcnvenc,sample,38.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08179000000074588
amt_gaming_vqa_dataset/Deadspace_2160p_10000k_hevcnvenc,sample,83.0,97.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.21638999999851016
amt_gaming_vqa_dataset/Deadspace_2160p_1500k_hevcnvenc,sample,54.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0642900000007458
amt_gaming_vqa_dataset/Deadspace_2160p_6000k_hevcnvenc,sample,12.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06778999999701973
amt_gaming_vqa_dataset/Deadspace_480p_800k_hevcnvenc,sample,18.0,35.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06109000000149045
amt_gaming_vqa_dataset/Deadspace_720p_1500k_hevcnvenc,sample,50.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05318999999925467
amt_gaming_vqa_dataset/Deadspace_720p_3500k_hevcnvenc,sample,42.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07458999999776594
amt_gaming_vqa_dataset/Deadspace_720p_600k_hevcnvenc,sample,17.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08989000000223513
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1,sample,49.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09530000000074423
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_1080p_1500k_av1,sample,19.0,98.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0939899999999998
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_1080p_5000k_av1,sample,48.0,99.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09949000000000119
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_1080p_500k_av1,sample,92.0,40.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0851899999992547
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_2160p_10000k_av1,sample,7.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.1140899999977663
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_2160p_1000k_av1,sample,32.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.8639900000000011
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_2160p_5000k_av1,sample,27.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.8919899999999998
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_480p_1000k_av1,sample,73.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08569000000298033
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_720p_1300k_av1,sample,80.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08558999999776518
