video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Returnal_2_2160p_10000k_hevcnvenc,sample,36.0,59.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0741899999880804
amt_gaming_vqa_dataset/Returnal_2_2160p_10000k_hevcnvenc,sample,40.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.35639000000596077
amt_gaming_vqa_dataset/Returnal_2_480p_800k_hevcnvenc,sample,52.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0990900000238426
amt_gaming_vqa_dataset/Returnal_2_480p_800k_hevcnvenc,sample,22.0,46.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07299000000000078
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_500k_av1,sample,2.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.9685899999940393
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_500k_av1,sample,1.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08749000000000073
amt_gaming_vqa_dataset/Astroysplayroom_2_2160p_10000k_av1,sample,52.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.4595899999940407
amt_gaming_vqa_dataset/Astroysplayroom_2_2160p_10000k_av1,sample,6.0,62.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.17758999999404068
amt_gaming_vqa_dataset/Astroysplayroom_2_2160p_5000k_av1,sample,17.0,68.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.1636900000178816
amt_gaming_vqa_dataset/Astroysplayroom_2_2160p_5000k_av1,sample,41.0,62.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.5943900000059603
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_10000k_h264nvenc,sample,89.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05408999999404074
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_10000k_h264nvenc,sample,90.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14799000000000007
