video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15,sample,26.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",22.603399999976162
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_1500k_av1,sample,1.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.006699999988079242
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_5000k_av1,sample,92.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.01820000004768474
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_500k_av1,sample,83.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.03149999999999942
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_10000k_h264_nvenc,sample,76.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.03460000002384156
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_2300k_h264_nvenc,sample,5.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.024399999976157716
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_5300k_h264_nvenc,sample,15.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.041699999988079384
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_2000k_hevc_nvenc,sample,47.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.016800000011921057
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_6000k_hevc_nvenc,sample,11.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.024699999988079924
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_800k_hevc_nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/ckJ_MgQ9WBQ_RollerCoasterTycoon3_14-00,sample,10.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.003100000023842142
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32,sample,34.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.047511999952316586
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_1300k_av1,sample,48.0,37.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.036711999999999634
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_3000k_av1,sample,62.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.011512000011920875
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_500k_av1,sample,90.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.012111999976157861
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_1000k_h264_nvenc,sample,71.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.011711999999999279
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_2500k_h264_nvenc,sample,32.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.020787999999999585
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_5000k_h264_nvenc,sample,96.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.017811999964237657
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_1500k_hevc_nvenc,sample,71.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.009512000011920207
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_3500k_hevc_nvenc,sample,94.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1502119999999998
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_600k_hevc_nvenc,sample,21.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.021812000023841094
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33,sample,27.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05980000001192032
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_1500k_av1,sample,62.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.014600000023841986
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_5000k_av1,sample,19.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.020199999988079753
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_500k_av1,sample,64.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.005800000011920048
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_10000k_h264_nvenc,sample,79.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08780000001192079
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_2300k_h264_nvenc,sample,49.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.021100000023841048
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_5300k_h264_nvenc,sample,6.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06869999998807863
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_2000k_hevc_nvenc,sample,90.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.029500000000000526
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_6000k_hevc_nvenc,sample,24.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.015300000011921
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_800k_hevc_nvenc,sample,23.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0717000000476844
