video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/GrandtheftautoV_1,sample,95.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",17.09469999998808
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_1500k_av1,sample,58.0,65.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08399000000000001
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_5000k_av1,sample,26.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09009000002384226
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_500k_av1,sample,8.0,65.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07599000000000089
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_10000k_av1,sample,35.0,64.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.5305899999940404
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_1000k_av1,sample,82.0,57.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.23468999998807938
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_5000k_av1,sample,38.0,75.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.420589999994041
amt_gaming_vqa_dataset/GrandtheftautoV_1_480p_1000k_av1,sample,72.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06218999998807995
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_1300k_av1,sample,70.0,73.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07028999998211916
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_3000k_av1,sample,33.0,55.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08269000001788207
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_500k_av1,sample,52.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.06348999999999982
