video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Godofwar_1,sample,74.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",9.062700000047684
amt_gaming_vqa_dataset/Godofwar_1_1080p_1500k_av1,sample,77.0,36.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08899000000000079
amt_gaming_vqa_dataset/Godofwar_1_1080p_5000k_av1,sample,55.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08838999997615815
amt_gaming_vqa_dataset/Godofwar_1_1080p_500k_av1,sample,52.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.0800899999642386
amt_gaming_vqa_dataset/Godofwar_1_2160p_10000k_av1,sample,26.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",3.581689999988079
amt_gaming_vqa_dataset/Godofwar_1_2160p_1000k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_av1,sample,44.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14709000002384265
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_av1,sample,89.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10799000000000092
amt_gaming_vqa_dataset/Godofwar_1_720p_1300k_av1,sample,54.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07818999998807996
amt_gaming_vqa_dataset/Godofwar_1_720p_3000k_av1,sample,76.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0850899999642376
amt_gaming_vqa_dataset/Godofwar_1_720p_500k_av1,sample,95.0,71.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.0725900000238422
amt_gaming_vqa_dataset/Godofwar_1_1080p_10000k_h264nvenc,sample,82.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11068999998807882
amt_gaming_vqa_dataset/Godofwar_1_1080p_2300k_h264nvenc,sample,22.0,51.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.09349000000000096
amt_gaming_vqa_dataset/Godofwar_1_1080p_5300k_h264nvenc,sample,64.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07488999997615942
amt_gaming_vqa_dataset/Godofwar_1_2160p_25000k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_h264nvenc,sample,67.0,32.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09459000002384244
amt_gaming_vqa_dataset/Godofwar_1_2160p_8500k_h264nvenc,sample,87.0,81.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.06329000001192142
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_h264nvenc,sample,77.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.09418999998807998
amt_gaming_vqa_dataset/Godofwar_1_720p_1000k_h264nvenc,sample,31.0,51.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06929000001192165
amt_gaming_vqa_dataset/Godofwar_1_720p_2500k_h264nvenc,sample,80.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08479000001192105
amt_gaming_vqa_dataset/Godofwar_1_720p_5000k_h264nvenc,sample,44.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08229000001192155
amt_gaming_vqa_dataset/Godofwar_1_1080p_2000k_hevcnvenc,sample,42.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0661899999880795
amt_gaming_vqa_dataset/Godofwar_1_1080p_6000k_hevcnvenc,sample,59.0,78.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.0705900000238433
amt_gaming_vqa_dataset/Godofwar_1_1080p_800k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Godofwar_1_2160p_10000k_hevcnvenc,sample,32.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06139000003576278
amt_gaming_vqa_dataset/Godofwar_1_2160p_1500k_hevcnvenc,sample,75.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.18499000000000088
amt_gaming_vqa_dataset/Godofwar_1_2160p_6000k_hevcnvenc,sample,66.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07159000002384275
amt_gaming_vqa_dataset/Godofwar_1_480p_800k_hevcnvenc,sample,73.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07318999998807918
amt_gaming_vqa_dataset/Godofwar_1_720p_1500k_hevcnvenc,sample,42.0,57.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.06059000002384174
amt_gaming_vqa_dataset/Godofwar_1_720p_3500k_hevcnvenc,sample,12.0,50.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.15638999997615954
amt_gaming_vqa_dataset/Godofwar_1_720p_600k_hevcnvenc,sample,40.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04898999999999987
