video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00,sample,11.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.02606000000111841
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1300k_av1,sample,69.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.015040000000372089
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_3000k_av1,sample,62.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.032959999999627954
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_500k_av1,sample,81.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.029960000001491238
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1000k_h264_nvenc,sample,93.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.004540000000371691
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_2500k_h264_nvenc,sample,12.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0074600000014903856
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_5000k_h264_nvenc,sample,8.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.033760000000373935
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1500k_hevc_nvenc,sample,34.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.009459999999627655
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_3500k_hevc_nvenc,sample,63.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.02375999999851075
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_600k_hevc_nvenc,sample,29.0,38.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.025060000001118965
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13,sample,96.0,32.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.042500000000000426
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_1000k_av1,sample,60.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.032899999998509344
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_1000k_h264_nvenc,sample,92.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08460000000149037
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_800k_hevc_nvenc,sample,55.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.027299999998882996
amt_gaming_vqa_dataset/CMSt7Ye7BfA_StarCraft_0-33,sample,89.0,28.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-9.996099999999627
amt_gaming_vqa_dataset/CMSt7Ye7BfA_StarCraft_0-33_480p_1000k_av1,sample,85.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.03700000000000081
