video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00,sample,36.0,57.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.030240000023841418
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1300k_av1,sample,96.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.02113999999999905
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_3000k_av1,sample,59.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04263999999999868
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_500k_av1,sample,64.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.031240000023840864
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1000k_h264_nvenc,sample,6.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.018959999904632596
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_2500k_h264_nvenc,sample,95.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0116600000715259
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_5000k_h264_nvenc,sample,74.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.017860000000000653
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_1500k_hevc_nvenc,sample,14.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.015259999976159122
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_3500k_hevc_nvenc,sample,74.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.012659999952317591
amt_gaming_vqa_dataset/FX6xk1GME4M_EuroTruckSimulator2_0-00_720p_600k_hevc_nvenc,sample,10.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.01675999997615918
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13,sample,8.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0012000000476835027
amt_gaming_vqa_dataset/1S94Knu48cs_TheSims3_0-13_480p_1000k_av1,sample,37.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.007899999976158867
