video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_600k_hevc_nvenc,sample,15.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.01848899999851028
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_600k_hevc_nvenc,sample,97.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.01378899999552985
amt_gaming_vqa_dataset/2FQ9qkN74MQ_FIFA_7-14,sample,41.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-7.82110000000149
amt_gaming_vqa_dataset/2FQ9qkN74MQ_FIFA_7-14,sample,63.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",8.28030000000447
amt_gaming_vqa_dataset/CVYN93MJDCE_Valheim_1-08-54,sample,6.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0028999999985099834
amt_gaming_vqa_dataset/CVYN93MJDCE_Valheim_1-08-54,sample,31.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.010299999997020137
amt_gaming_vqa_dataset/yebynRz26iU_Rust_0-00_1080p_1500k_av1,sample,14.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.033500000000000085
amt_gaming_vqa_dataset/yebynRz26iU_Rust_0-00_1080p_1500k_av1,sample,14.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.017800000004470462
amt_gaming_vqa_dataset/qHQWcxUi4ic_Terraria_9-20,sample,49.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.022599999994039166
amt_gaming_vqa_dataset/qHQWcxUi4ic_Terraria_9-20,sample,32.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.7460000000000004
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,0.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.16260000000148978
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,85.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11030000000446982
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,0.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.010988999998509996
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,5.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09240000000596105
