video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/CatQuestII_1080p_5300k_h264nvenc,sample,31.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.046690000002980625
amt_gaming_vqa_dataset/CatQuestII_1080p_5300k_h264nvenc,sample,59.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09219000000298117
amt_gaming_vqa_dataset/CatQuestII_2160p_6000k_hevcnvenc,sample,4.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050690000002980184
amt_gaming_vqa_dataset/CatQuestII_2160p_6000k_hevcnvenc,sample,84.0,97.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.4470899999940396
amt_gaming_vqa_dataset/Fallout4_1_720p_3000k_av1,sample,6.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04908999999403996
amt_gaming_vqa_dataset/Fallout4_1_720p_3000k_av1,sample,48.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-2.202309999997019
amt_gaming_vqa_dataset/Fallout4_1_720p_2500k_h264nvenc,sample,79.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/Fallout4_1_720p_2500k_h264nvenc,sample,16.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08138999999106034
amt_gaming_vqa_dataset/Fallout4_1_1080p_6000k_hevcnvenc,sample,49.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06869000000298087
amt_gaming_vqa_dataset/Fallout4_1_1080p_6000k_hevcnvenc,sample,85.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08669000000298155
amt_gaming_vqa_dataset/Fallout4_1_1080p_800k_hevcnvenc,sample,95.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05249000000000059
amt_gaming_vqa_dataset/Fallout4_1_1080p_800k_hevcnvenc,sample,0.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08619000000298094
