video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Returnal_2_720p_1000k_h264nvenc,sample,30.0,27.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",2.4322899999523173
amt_gaming_vqa_dataset/Returnal_2_720p_1000k_h264nvenc,sample,40.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",4.414789999952317
amt_gaming_vqa_dataset/Doom_2160p_1000k_av1,sample,6.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",6.299789999952315
amt_gaming_vqa_dataset/Doom_2160p_1000k_av1,sample,36.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",13.625090000143052
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_1500k_av1,sample,72.0,46.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.3227899999523167
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_1500k_av1,sample,84.0,57.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.751990000000001
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_5000k_av1,sample,98.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.7959899999999998
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_5000k_av1,sample,68.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.4765899999046326
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_2000k_hevcnvenc,sample,4.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.16519000004768358
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_2000k_hevcnvenc,sample,7.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.1508900000953677
