video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_600k_hevc_nvenc,sample,73.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08531099997615854
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_600k_hevc_nvenc,sample,44.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.080711000011922
amt_gaming_vqa_dataset/y_ZMN7neUo3Fk_EuroTruckSimulator2_7-38_480p_1000k_h264_nvenc,sample,95.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04879999995231543
amt_gaming_vqa_dataset/y_ZMN7neUo3Fk_EuroTruckSimulator2_7-38_480p_1000k_h264_nvenc,sample,49.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07399999999999984
amt_gaming_vqa_dataset/y_5zWGVNQx3gw_Gardenscapes_6-30_480p_1000k_av1,sample,47.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.046199999988079554
amt_gaming_vqa_dataset/y_5zWGVNQx3gw_Gardenscapes_6-30_480p_1000k_av1,sample,11.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0886999999880782
amt_gaming_vqa_dataset/y0IsRAR6W90_WorldofWarcraft_0-12_480p_1000k_av1,sample,18.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0566000000238418
amt_gaming_vqa_dataset/y0IsRAR6W90_WorldofWarcraft_0-12_480p_1000k_av1,sample,34.0,36.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.077800000011921
amt_gaming_vqa_dataset/qHQWcxUi4ic_Terraria_9-20_480p_800k_hevc_nvenc,sample,30.0,45.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.0473999999761574
amt_gaming_vqa_dataset/qHQWcxUi4ic_Terraria_9-20_480p_800k_hevc_nvenc,sample,25.0,73.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.04089999997615834
amt_gaming_vqa_dataset/Ad3zlJ-wNWk_PUBGMobile_0-05_1080p_1500k_av1,sample,56.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14719999998807864
amt_gaming_vqa_dataset/Ad3zlJ-wNWk_PUBGMobile_0-05_1080p_1500k_av1,sample,97.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12459999996423754
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,22.0,99.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.36989999997615897
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,15.0,99.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.22159999996423707
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,34.0,99.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.2946999999880795
