video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/y_QgRoVX1cYvk_Myst_35-30_480p_1000k_av1,sample,78.0,62.0,"['Highly Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.23828400002384242
amt_gaming_vqa_dataset/y_QgRoVX1cYvk_Myst_35-30_480p_1000k_h264_nvenc,sample,14.0,41.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11928400002384265
amt_gaming_vqa_dataset/y_QgRoVX1cYvk_Myst_35-30_480p_800k_hevc_nvenc,sample,86.0,71.0,"['Minimally Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09138399998807856
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00,sample,31.0,44.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08799999999999919
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_1500k_av1,sample,72.0,58.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06060000002384136
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_5000k_av1,sample,41.0,65.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.031199999988078986
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_500k_av1,sample,8.0,62.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.0623000000119216
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_10000k_h264_nvenc,sample,57.0,83.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.03639999997615817
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_2300k_h264_nvenc,sample,25.0,73.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.0470000000000006
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_5300k_h264_nvenc,sample,55.0,73.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.17950000000000088
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_2000k_hevc_nvenc,sample,82.0,69.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07359999996423738
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_6000k_hevc_nvenc,sample,29.0,44.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.022600000023841105
