video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Kenabridgeofspirits_1,sample,36.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",9.617800000000047
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_1500k_av1,sample,31.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08079000000004655
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_5000k_av1,sample,42.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08749000000000073
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_500k_av1,sample,7.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07699000000000034
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_av1,sample,52.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.6253899999999071
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_1000k_av1,sample,83.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14628999999998982
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_5000k_av1,sample,27.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.15578999999993037
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_1000k_av1,sample,29.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06799
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1300k_av1,sample,57.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0696899999999534
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_3000k_av1,sample,9.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09758999999986173
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_500k_av1,sample,7.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07149000000000072
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_10000k_h264nvenc,sample,27.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09908999999997725
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_2300k_h264nvenc,sample,58.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10049000000000063
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_5300k_h264nvenc,sample,64.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12368999999995367
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_25000k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_5000k_h264nvenc,sample,98.0,36.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",6.809590000000094
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_8500k_h264nvenc,sample,77.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",10.583290000000046
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_1000k_h264nvenc,sample,80.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08288999999990665
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1000k_h264nvenc,sample,43.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08428999999998865
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_2500k_h264nvenc,sample,17.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09929000000004784
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_5000k_h264nvenc,sample,47.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08468999999995397
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_2000k_hevcnvenc,sample,88.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04968999999995383
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_6000k_hevcnvenc,sample,6.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08358999999997785
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_800k_hevcnvenc,sample,80.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04979000000004774
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_1500k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_6000k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_800k_hevcnvenc,sample,4.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08599000000000068
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1500k_hevcnvenc,sample,40.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07559000000009419
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_3500k_hevcnvenc,sample,85.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08659000000009343
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_600k_hevcnvenc,sample,76.0,37.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07419000000001219
