video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,sample,32.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05980000000000274
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,sample,35.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09809999999997743
amt_gaming_vqa_dataset/JakandDaxter_1080p_2300k_h264nvenc,sample,61.0,56.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10159999999986091
amt_gaming_vqa_dataset/JakandDaxter_1080p_2300k_h264nvenc,sample,24.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07889999999990671
amt_gaming_vqa_dataset/JakandDaxter_2160p_8500k_h264nvenc,sample,43.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06049999999999933
amt_gaming_vqa_dataset/JakandDaxter_2160p_8500k_h264nvenc,sample,64.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09360000000009272
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_10000k_av1,sample,84.0,98.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.4782900000000474
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_10000k_av1,sample,58.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.919390000000023
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_8500k_h264nvenc,sample,62.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_2160p_8500k_h264nvenc,sample,98.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08258999999986116
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_1000k_h264nvenc,sample,97.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.049190000000011835
amt_gaming_vqa_dataset/Deathstrandingdirectorscut_720p_1000k_h264nvenc,sample,50.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07798999999999978
