video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_500k_av1,sample,15.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04728999999981376
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_500k_av1,sample,44.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07499000000000144
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_5000k_av1,sample,41.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04969000000018653
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_5000k_av1,sample,72.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08679000000074488
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_5000k_av1,sample,63.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04958999999962721
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_5000k_av1,sample,70.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.7814899999999998
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_500k_av1,sample,65.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04598999999999975
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_500k_av1,sample,66.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08519000000018728
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_5000k_av1,sample,30.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.051190000000186586
amt_gaming_vqa_dataset/GrandtheftautoV_2_1080p_5000k_av1,sample,37.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08569000000018612
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_500k_av1,sample,66.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04309000000055896
amt_gaming_vqa_dataset/GrandtheftautoV_2_720p_500k_av1,sample,96.0,15.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08389000000037328
