video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_1500k_av1,sample,77.0,80.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-3.7539999999999996
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_5000k_av1,sample,24.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.008000000000000895
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_500k_av1,sample,59.0,44.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.003100000023842142
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_10000k_h264_nvenc,sample,66.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-3.748
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_2300k_h264_nvenc,sample,81.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0030999999642382647
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_5300k_h264_nvenc,sample,18.0,88.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-5.014400000035763
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_2000k_hevc_nvenc,sample,88.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.011900000035762304
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_6000k_hevc_nvenc,sample,13.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.015100000023842597
amt_gaming_vqa_dataset/u_ctFy_mVr0_GuildWars_16-15_1080p_800k_hevc_nvenc,sample,82.0,44.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",-0.0061999999880786305
amt_gaming_vqa_dataset/ckJ_MgQ9WBQ_RollerCoasterTycoon3_14-00,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_1300k_av1,sample,37.0,74.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.004188000035762585
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_3000k_av1,sample,11.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0022880000000000678
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_500k_av1,sample,76.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-5.001888000023842
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_1000k_h264_nvenc,sample,69.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.006812000023842302
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_2500k_h264_nvenc,sample,17.0,62.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.02551200001192022
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_5000k_h264_nvenc,sample,48.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-3.772387999964238
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_1500k_hevc_nvenc,sample,31.0,76.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.006987999988078641
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_3500k_hevc_nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/IpMRK2z9Fm4_MarioKartTour_3-32_720p_600k_hevc_nvenc,sample,51.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",-0.008688000035762755
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_1500k_av1,sample,25.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0018000000119204884
