video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Genshinimpact_2,sample,22.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13459999999962768
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_1500k_av1,sample,66.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08468999999925586
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5000k_av1,sample,27.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09129000000074505
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_500k_av1,sample,27.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08158999999962724
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,30.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.1207899999998148
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1000k_av1,sample,2.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.1071900000001875
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_av1,sample,38.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.1438900000003738
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_av1,sample,93.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0638900000003737
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1300k_av1,sample,81.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07149000000000072
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3000k_av1,sample,25.0,66.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07329000000074615
amt_gaming_vqa_dataset/Genshinimpact_2_720p_500k_av1,sample,2.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06989000000037393
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_10000k_h264nvenc,sample,3.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08459000000149075
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2300k_h264nvenc,sample,72.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07758999999962768
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5300k_h264nvenc,sample,0.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1023900000003728
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_25000k_h264nvenc,sample,55.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13409000000056004
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_h264nvenc,sample,73.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1049900000000008
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_8500k_h264nvenc,sample,48.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1007899999998152
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_h264nvenc,sample,57.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07869000000018644
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1000k_h264nvenc,sample,80.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07719000000111897
amt_gaming_vqa_dataset/Genshinimpact_2_720p_2500k_h264nvenc,sample,74.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050489999999999924
amt_gaming_vqa_dataset/Genshinimpact_2_720p_5000k_h264nvenc,sample,30.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09349000000000096
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2000k_hevcnvenc,sample,38.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07239000000037343
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_6000k_hevcnvenc,sample,80.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07549000000000028
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_800k_hevcnvenc,sample,82.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08708999999962863
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_hevcnvenc,sample,69.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10439000000037346
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1500k_hevcnvenc,sample,94.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07318999999925602
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_6000k_hevcnvenc,sample,94.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09088999999944214
amt_gaming_vqa_dataset/Genshinimpact_2_480p_800k_hevcnvenc,sample,94.0,1.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08299000000000056
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1500k_hevcnvenc,sample,61.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09128999999981424
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3500k_hevcnvenc,sample,69.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08649000000000129
amt_gaming_vqa_dataset/Genshinimpact_2_720p_600k_hevcnvenc,sample,82.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.051190000000186586
amt_gaming_vqa_dataset/Daysgone_2,sample,12.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06939999999944035
amt_gaming_vqa_dataset/Daysgone_2_1080p_1500k_av1,sample,98.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09200000000000053
amt_gaming_vqa_dataset/Daysgone_2_1080p_5000k_av1,sample,14.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09229999999981331
amt_gaming_vqa_dataset/Daysgone_2_1080p_500k_av1,sample,50.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0603999999985092
amt_gaming_vqa_dataset/Daysgone_2_2160p_10000k_av1,sample,78.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.2174000000003726
amt_gaming_vqa_dataset/Daysgone_2_2160p_1000k_av1,sample,82.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.2530000000000001
amt_gaming_vqa_dataset/Daysgone_2_2160p_5000k_av1,sample,30.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.2289000000003725
