video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2,sample,48.0,83.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04560000000055808
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_1500k_av1,sample,95.0,96.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09349000000000096
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_5000k_av1,sample,49.0,86.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09939000000037268
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_500k_av1,sample,63.0,88.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08749000000000073
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_10000k_av1,sample,39.0,80.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",5.194090000000093
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_1000k_av1,sample,89.0,98.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.524389999999908
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_5000k_av1,sample,77.0,96.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",1.3985900000000946
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_480p_1000k_av1,sample,39.0,87.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07388999999990808
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1300k_av1,sample,97.0,95.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08169000000018656
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_3000k_av1,sample,36.0,88.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08629000000028064
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_500k_av1,sample,60.0,87.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07499000000000144
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_10000k_h264nvenc,sample,88.0,94.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07308999999962751
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_2300k_h264nvenc,sample,4.0,82.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07249000000000017
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_5300k_h264nvenc,sample,54.0,89.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07009000000055998
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_25000k_h264nvenc,sample,27.0,88.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07609000000009303
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_5000k_h264nvenc,sample,83.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07679000000027969
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_8500k_h264nvenc,sample,45.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10399000000000136
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_480p_1000k_h264nvenc,sample,12.0,88.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07459000000056015
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1000k_h264nvenc,sample,18.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06978999999981461
