video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Undefeated,sample,68.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.19429999995231562
amt_gaming_vqa_dataset/Undefeated_1080p_1500k_av1,sample,51.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1539900000000003
amt_gaming_vqa_dataset/Undefeated_1080p_5000k_av1,sample,55.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1153900000953687
amt_gaming_vqa_dataset/Undefeated_1080p_500k_av1,sample,84.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11849000000000132
amt_gaming_vqa_dataset/Undefeated_2160p_10000k_av1,sample,1.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",5.555390000095368
amt_gaming_vqa_dataset/Undefeated_2160p_1000k_av1,sample,94.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",4.621190000047685
amt_gaming_vqa_dataset/Undefeated_2160p_5000k_av1,sample,31.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",6.260389999856949
amt_gaming_vqa_dataset/Undefeated_480p_1000k_av1,sample,50.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07779000019073479
amt_gaming_vqa_dataset/Undefeated_720p_1300k_av1,sample,70.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.32948999999999984
amt_gaming_vqa_dataset/Undefeated_720p_3000k_av1,sample,58.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12619000004768388
amt_gaming_vqa_dataset/Undefeated_720p_500k_av1,sample,27.0,46.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07878999995231695
amt_gaming_vqa_dataset/Undefeated_1080p_10000k_h264nvenc,sample,80.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08128999995231645
amt_gaming_vqa_dataset/Undefeated_1080p_2300k_h264nvenc,sample,74.0,38.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11589000009536754
amt_gaming_vqa_dataset/Undefeated_1080p_5300k_h264nvenc,sample,54.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11519000004768465
amt_gaming_vqa_dataset/Undefeated_2160p_25000k_h264nvenc,sample,77.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08878999995231673
amt_gaming_vqa_dataset/Undefeated_2160p_5000k_h264nvenc,sample,54.0,28.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11148999999999987
amt_gaming_vqa_dataset/Undefeated_2160p_8500k_h264nvenc,sample,10.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13789000009536778
amt_gaming_vqa_dataset/Undefeated_480p_1000k_h264nvenc,sample,6.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.19319000004768405
amt_gaming_vqa_dataset/Undefeated_720p_1000k_h264nvenc,sample,48.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07069000004768355
amt_gaming_vqa_dataset/Undefeated_720p_2500k_h264nvenc,sample,85.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07249000000000017
amt_gaming_vqa_dataset/Undefeated_720p_5000k_h264nvenc,sample,38.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0766899998092665
amt_gaming_vqa_dataset/Undefeated_1080p_2000k_hevcnvenc,sample,59.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07469000004768489
amt_gaming_vqa_dataset/Undefeated_1080p_6000k_hevcnvenc,sample,77.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07519000004768372
amt_gaming_vqa_dataset/Undefeated_1080p_800k_hevcnvenc,sample,63.0,45.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07028999995231722
amt_gaming_vqa_dataset/Undefeated_2160p_10000k_hevcnvenc,sample,27.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07659000014305128
amt_gaming_vqa_dataset/Undefeated_2160p_1500k_hevcnvenc,sample,95.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07249000000000017
amt_gaming_vqa_dataset/Undefeated_2160p_6000k_hevcnvenc,sample,28.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1908900000953686
amt_gaming_vqa_dataset/Undefeated_480p_800k_hevcnvenc,sample,82.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0901900000476843
amt_gaming_vqa_dataset/Undefeated_720p_1500k_hevcnvenc,sample,78.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07578999995231683
amt_gaming_vqa_dataset/Undefeated_720p_3500k_hevcnvenc,sample,74.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07399000000000022
amt_gaming_vqa_dataset/Undefeated_720p_600k_hevcnvenc,sample,2.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08628999995231723
amt_gaming_vqa_dataset/thelogomovie2,sample,0.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.12679999995231483
amt_gaming_vqa_dataset/thelogomovie2_1080p_1500k_av1,sample,22.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10639000009536836
amt_gaming_vqa_dataset/thelogomovie2_1080p_5000k_av1,sample,37.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11228999995231703
amt_gaming_vqa_dataset/thelogomovie2_1080p_500k_av1,sample,60.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11949000000000076
amt_gaming_vqa_dataset/thelogomovie2_2160p_10000k_av1,sample,63.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",5.872089999904633
amt_gaming_vqa_dataset/thelogomovie2_2160p_1000k_av1,sample,84.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",3.41549
amt_gaming_vqa_dataset/thelogomovie2_2160p_5000k_av1,sample,86.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",4.042490000000001
amt_gaming_vqa_dataset/thelogomovie2_480p_1000k_av1,sample,21.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09749000000000052
amt_gaming_vqa_dataset/thelogomovie2_720p_1300k_av1,sample,89.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09119000004768374
amt_gaming_vqa_dataset/thelogomovie2_720p_3000k_av1,sample,55.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08678999995231607
amt_gaming_vqa_dataset/thelogomovie2_720p_500k_av1,sample,3.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08358999990463367
amt_gaming_vqa_dataset/thelogomovie2_1080p_10000k_h264nvenc,sample,50.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07648999999999972
amt_gaming_vqa_dataset/thelogomovie2_1080p_2300k_h264nvenc,sample,9.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06799
amt_gaming_vqa_dataset/thelogomovie2_1080p_5300k_h264nvenc,sample,3.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11608999990463253
amt_gaming_vqa_dataset/thelogomovie2_2160p_25000k_h264nvenc,sample,78.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06839000009536811
amt_gaming_vqa_dataset/thelogomovie2_2160p_5000k_h264nvenc,sample,72.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07749000000000095
amt_gaming_vqa_dataset/thelogomovie2_2160p_8500k_h264nvenc,sample,63.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.13818999980926527
amt_gaming_vqa_dataset/thelogomovie2_480p_1000k_h264nvenc,sample,36.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06819000004768405
amt_gaming_vqa_dataset/thelogomovie2_720p_1000k_h264nvenc,sample,39.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07689000009536784
amt_gaming_vqa_dataset/thelogomovie2_720p_2500k_h264nvenc,sample,56.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09978999995231774
amt_gaming_vqa_dataset/thelogomovie2_720p_5000k_h264nvenc,sample,17.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11769000004768415
amt_gaming_vqa_dataset/thelogomovie2_1080p_2000k_hevcnvenc,sample,23.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0556899998092657
amt_gaming_vqa_dataset/thelogomovie2_1080p_6000k_hevcnvenc,sample,10.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07388999985694866
amt_gaming_vqa_dataset/thelogomovie2_1080p_800k_hevcnvenc,sample,57.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07878999995231695
amt_gaming_vqa_dataset/thelogomovie2_2160p_10000k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/thelogomovie2_2160p_1500k_hevcnvenc,sample,48.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.2375899999046336
amt_gaming_vqa_dataset/thelogomovie2_2160p_6000k_hevcnvenc,sample,94.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08419000004768407
amt_gaming_vqa_dataset/thelogomovie2_480p_800k_hevcnvenc,sample,71.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07458999990463333
amt_gaming_vqa_dataset/thelogomovie2_720p_1500k_hevcnvenc,sample,26.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0691900000476835
amt_gaming_vqa_dataset/thelogomovie2_720p_3500k_hevcnvenc,sample,49.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08228999995231767
amt_gaming_vqa_dataset/thelogomovie2_720p_600k_hevcnvenc,sample,27.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07178999995231727
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1,sample,98.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05679999995231633
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_1080p_1500k_av1,sample,77.0,44.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10069000004768469
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_1080p_5000k_av1,sample,1.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09369000004768502
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_1080p_500k_av1,sample,35.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09698999999999991
