video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/4fLYHpxkqSc_MarioKartTour_0-08_720p_2500k_h264_nvenc,sample,64.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.022300000000745612
amt_gaming_vqa_dataset/4fLYHpxkqSc_MarioKartTour_0-08_720p_2500k_h264_nvenc,sample,79.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.005199999999254246
amt_gaming_vqa_dataset/aYWM3nhWeSE_SubwaySurfers_2-00,sample,59.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-5.420600000000559
amt_gaming_vqa_dataset/aYWM3nhWeSE_SubwaySurfers_2-00,sample,34.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.007799999999813068
amt_gaming_vqa_dataset/CRVZs3A8U3s_FIFA_2-00_1080p_1500k_av1,sample,84.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06146699999962735
amt_gaming_vqa_dataset/CRVZs3A8U3s_FIFA_2-00_1080p_1500k_av1,sample,35.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.028966999999628484
amt_gaming_vqa_dataset/CRVZs3A8U3s_FIFA_2-00_1080p_6000k_hevc_nvenc,sample,64.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-3.032533000000372
amt_gaming_vqa_dataset/CRVZs3A8U3s_FIFA_2-00_1080p_6000k_hevc_nvenc,sample,53.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.027533000000371288
amt_gaming_vqa_dataset/Fy7JTlGlcS0_SonicDash_4-25_360p_600k_hevc_nvenc,sample,1.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.003299999999812897
amt_gaming_vqa_dataset/Fy7JTlGlcS0_SonicDash_4-25_360p_600k_hevc_nvenc,sample,45.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.015800000000744774
amt_gaming_vqa_dataset/y_upjjObZ950Y_DiabloIII_13-35_480p_1000k_av1,sample,2.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.014699999999255198
amt_gaming_vqa_dataset/y_upjjObZ950Y_DiabloIII_13-35_480p_1000k_av1,sample,13.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.013999999999999346
