video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Genshinimpact_2,sample,41.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1493000000007445
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_1500k_av1,sample,57.0,38.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08859000000149031
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5000k_av1,sample,47.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09388999999850967
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_500k_av1,sample,84.0,41.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08279000000074532
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,64.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.2374900000000011
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1000k_av1,sample,95.0,47.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.15999000000000052
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_av1,sample,58.0,60.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.1573900000022359
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_av1,sample,62.0,30.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06709000000149068
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1300k_av1,sample,1.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07449000000000083
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3000k_av1,sample,54.0,62.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.07959000000148997
amt_gaming_vqa_dataset/Genshinimpact_2_720p_500k_av1,sample,24.0,36.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.06899000000000122
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_10000k_h264nvenc,sample,78.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09468999999925565
