video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/l89zFimeNk4_SubwaySurfers_4-14_720p_1300k_av1,sample,71.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.012133000000000393
amt_gaming_vqa_dataset/l89zFimeNk4_SubwaySurfers_4-14_720p_1300k_av1,sample,66.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.007066999988079914
amt_gaming_vqa_dataset/l89zFimeNk4_SubwaySurfers_4-14_720p_1500k_hevc_nvenc,sample,79.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.020832999988078527
amt_gaming_vqa_dataset/l89zFimeNk4_SubwaySurfers_4-14_720p_1500k_hevc_nvenc,sample,98.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.00046699996423704704
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_1000k_h264_nvenc,sample,18.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.004399999976158142
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_1000k_h264_nvenc,sample,59.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0224000000357627
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_4-16_480p_1000k_av1,sample,62.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0008000000119210426
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_4-16_480p_1000k_av1,sample,37.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.007599999964236659
amt_gaming_vqa_dataset/mEPr4AZNtZU_TheWitcher3_6-39,sample,56.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.0015330000357618445
amt_gaming_vqa_dataset/mEPr4AZNtZU_TheWitcher3_6-39,sample,40.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",2.6804669999642368
amt_gaming_vqa_dataset/y_Q63Qb_5PzLI_GuildWars_14-07_480p_1000k_av1,sample,45.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.005700000047683673
amt_gaming_vqa_dataset/y_Q63Qb_5PzLI_GuildWars_14-07_480p_1000k_av1,sample,35.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.1924000000357626
