video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_6000k_hevc_nvenc,sample,4.0,44.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.026432999952316294
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_6000k_hevc_nvenc,sample,13.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.02473299990463218
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_5000k_av1,sample,40.0,67.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.004799999952316725
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_5000k_av1,sample,98.0,49.0,"['Moderately Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.0013999999761580284
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_2000k_hevc_nvenc,sample,74.0,47.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.013799999952317066
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_2000k_hevc_nvenc,sample,50.0,39.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.016500000000000625
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_6000k_hevc_nvenc,sample,9.0,54.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.03550000000000075
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_6000k_hevc_nvenc,sample,15.0,65.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.010999999999999233
amt_gaming_vqa_dataset/y_upjjObZ950Y_DiabloIII_55-02_480p_1000k_h264_nvenc,sample,10.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.009200000047684398
amt_gaming_vqa_dataset/y_upjjObZ950Y_DiabloIII_55-02_480p_1000k_h264_nvenc,sample,18.0,46.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.012899999976157872
amt_gaming_vqa_dataset/9sVLdz81Jqk_MarioKartTour_1-25_720p_1300k_av1,sample,11.0,43.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.0031719999284742784
amt_gaming_vqa_dataset/9sVLdz81Jqk_MarioKartTour_1-25_720p_1300k_av1,sample,74.0,44.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",-0.02177200007152713
