video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Godofwar_1,sample,8.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10219999999925555
amt_gaming_vqa_dataset/Godofwar_1,sample,97.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.4715999999977658
amt_gaming_vqa_dataset/MLBtheshow_2160p_8500k_h264nvenc,sample,65.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-2.1112099999992546
amt_gaming_vqa_dataset/MLBtheshow_2160p_8500k_h264nvenc,sample,37.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07579000000074565
amt_gaming_vqa_dataset/MLBtheshow_2160p_6000k_hevcnvenc,sample,0.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14619000000298144
amt_gaming_vqa_dataset/MLBtheshow_2160p_6000k_hevcnvenc,sample,40.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14708999999776573
amt_gaming_vqa_dataset/MLBtheshow_480p_800k_hevcnvenc,sample,4.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04978999999702083
amt_gaming_vqa_dataset/MLBtheshow_480p_800k_hevcnvenc,sample,23.0,15.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.1607900000007465
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_1300k_av1,sample,7.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0039999999999995595
amt_gaming_vqa_dataset/t18jJAKEmlg_StarCraft_23-26_720p_1300k_av1,sample,32.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.005700000002979877
amt_gaming_vqa_dataset/oiFIE3f5_vM_Minecraft_11-50,sample,65.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.030900000002235473
amt_gaming_vqa_dataset/oiFIE3f5_vM_Minecraft_11-50,sample,73.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.03660000000149033
