video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/thelogomovie2_720p_3000k_av1,sample,36.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08228999999888309
amt_gaming_vqa_dataset/thelogomovie2_720p_3000k_av1,sample,45.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07789000000037305
amt_gaming_vqa_dataset/thelogomovie2_480p_1000k_h264nvenc,sample,62.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09799000000000113
amt_gaming_vqa_dataset/thelogomovie2_480p_1000k_h264nvenc,sample,4.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08389000000037328
amt_gaming_vqa_dataset/thelogomovie2_720p_1500k_hevcnvenc,sample,91.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06669000000111858
amt_gaming_vqa_dataset/thelogomovie2_720p_1500k_hevcnvenc,sample,34.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0658900000003726
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_2160p_10000k_hevcnvenc,sample,22.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.20338999999944107
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_2160p_10000k_hevcnvenc,sample,42.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",7.70199
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_2160p_6000k_hevcnvenc,sample,18.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08599000000000068
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_2160p_6000k_hevcnvenc,sample,49.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.998189999999255
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_480p_800k_hevcnvenc,sample,1.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0726899999992554
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_1_480p_800k_hevcnvenc,sample,76.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07868999999925563
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,82.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09330000000074534
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,43.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08689999999850961
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,59.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07850000000000001
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,66.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07789999999850927
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,99.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.21629999999888305
Amer_fighting_open_beta_1920p_30fps_3000k_Q3,backup,52.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08619999999925554
