video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_500k_av1,sample,29.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.007999999999999119
amt_gaming_vqa_dataset/4t-8YPgbrUc_AngryBirds2_5-19_720p_500k_av1,sample,73.0,65.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.01279999999981385
amt_gaming_vqa_dataset/w9YXHg_3VXg_Terraria_2-07,sample,91.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.015857000000000454
amt_gaming_vqa_dataset/w9YXHg_3VXg_Terraria_2-07,sample,25.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-1.631543000000372
amt_gaming_vqa_dataset/w9YXHg_3VXg_Terraria_2-07_720p_3000k_av1,sample,53.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.025156999999815355
amt_gaming_vqa_dataset/w9YXHg_3VXg_Terraria_2-07_720p_3000k_av1,sample,80.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0013570000000004967
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_1500k_av1,sample,31.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09390000000037269
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_1500k_av1,sample,38.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0767999999998139
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_10000k_h264_nvenc,sample,26.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08679999999981369
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_10000k_h264_nvenc,sample,31.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06179999999981334
amt_gaming_vqa_dataset/8Xg2xP7BHnY_SuperMarioRun_1-53_360p_600k_hevc_nvenc,sample,32.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.022399999999441533
amt_gaming_vqa_dataset/8Xg2xP7BHnY_SuperMarioRun_1-53_360p_600k_hevc_nvenc,sample,48.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.02320000000018574
