video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/CatQuestII_2160p_5000k_av1,sample,80.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07288999999990686
amt_gaming_vqa_dataset/CatQuestII_2160p_5000k_av1,sample,95.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09389000000014036
amt_gaming_vqa_dataset/CatQuestII_2160p_6000k_hevcnvenc,sample,16.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0696900000001861
amt_gaming_vqa_dataset/CatQuestII_2160p_6000k_hevcnvenc,sample,77.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08489000000014002
amt_gaming_vqa_dataset/Sessionskatesim_1_2160p_10000k_av1,sample,93.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1095000000000006
amt_gaming_vqa_dataset/Sessionskatesim_1_2160p_10000k_av1,sample,60.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.12319999999995268
amt_gaming_vqa_dataset/Sessionskatesim_1_1080p_6000k_hevcnvenc,sample,13.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0628999999999067
amt_gaming_vqa_dataset/Sessionskatesim_1_1080p_6000k_hevcnvenc,sample,91.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09830000000004624
amt_gaming_vqa_dataset/Fallout4_1_720p_2500k_h264nvenc,sample,36.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04999000000000109
amt_gaming_vqa_dataset/Fallout4_1_720p_2500k_h264nvenc,sample,10.0,15.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07058999999986071
amt_gaming_vqa_dataset/Fallout4_1_720p_3500k_hevcnvenc,sample,7.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07648999999999972
amt_gaming_vqa_dataset/Fallout4_1_720p_3500k_hevcnvenc,sample,32.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08359000000009331
