video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Ghostoftsushima_2,sample,77.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.031699999999256434
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_1500k_av1,sample,66.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08799000000000134
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_5000k_av1,sample,86.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09108999999962819
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_500k_av1,sample,38.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08539000000037333
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_10000k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_1000k_av1,sample,35.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.8063900000003734
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_5000k_av1,sample,22.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",3.089290000000746
amt_gaming_vqa_dataset/Ghostoftsushima_2_480p_1000k_av1,sample,74.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06818999999925524
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_1300k_av1,sample,54.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05058999999962843
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_3000k_av1,sample,84.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07468999999925607
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_500k_av1,sample,13.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06958999999962856
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_10000k_h264nvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_2300k_h264nvenc,sample,19.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10258999999962803
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_5300k_h264nvenc,sample,0.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.796189999999255
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_25000k_h264nvenc,sample,48.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10389000000037285
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_5000k_h264nvenc,sample,42.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04979000000074585
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_8500k_h264nvenc,sample,3.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14649
amt_gaming_vqa_dataset/Ghostoftsushima_2_480p_1000k_h264nvenc,sample,58.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08419000000111865
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_1000k_h264nvenc,sample,47.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.15519000000111838
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_2500k_h264nvenc,sample,96.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09739000000037379
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_5000k_h264nvenc,sample,72.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1317899999988832
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_2000k_hevcnvenc,sample,25.0,67.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04989000000037258
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_6000k_hevcnvenc,sample,71.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06949000000000005
amt_gaming_vqa_dataset/Ghostoftsushima_2_1080p_800k_hevcnvenc,sample,72.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07299000000000078
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_10000k_hevcnvenc,sample,72.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.2168900000003724
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_1500k_hevcnvenc,sample,96.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11099000000000103
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_6000k_hevcnvenc,sample,57.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",5.790789999998884
amt_gaming_vqa_dataset/Ghostoftsushima_2_480p_800k_hevcnvenc,sample,37.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.050689999999255164
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_1500k_hevcnvenc,sample,65.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08508999999962796
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_3500k_hevcnvenc,sample,64.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",154.22289000000038
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_600k_hevcnvenc,sample,42.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07339000000037288
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy,sample,52.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.22510000000148978
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_1500k_av1,sample,57.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08849000000000018
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_5000k_av1,sample,43.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.053089999999627935
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_500k_av1,sample,68.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0851899999992547
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_10000k_av1,sample,66.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",5.100890000000373
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_1000k_av1,sample,96.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",8.911290000000745
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_5000k_av1,sample,43.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.0422900000007456
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_480p_1000k_av1,sample,72.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06689000000037382
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_1300k_av1,sample,19.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09698999999999991
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_3000k_av1,sample,54.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08049000000000106
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_500k_av1,sample,39.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0768900000003736
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_10000k_h264nvenc,sample,60.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09538999999850972
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_2300k_h264nvenc,sample,43.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07349000000000139
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_5300k_h264nvenc,sample,76.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09878999999888372
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_25000k_h264nvenc,sample,66.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.14879000000074605
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_5000k_h264nvenc,sample,99.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09329000000074572
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_8500k_h264nvenc,sample,21.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.21928999999888354
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_480p_1000k_h264nvenc,sample,17.0,6.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-4.825710000001117
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_1000k_h264nvenc,sample,86.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08918999999925603
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_2500k_h264nvenc,sample,51.0,27.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08189000000037261
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_5000k_h264nvenc,sample,63.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10119000000111811
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_2000k_hevcnvenc,sample,45.0,38.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07318999999925602
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_6000k_hevcnvenc,sample,36.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06858999999962734
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_800k_hevcnvenc,sample,96.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07829000000074515
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_10000k_hevcnvenc,sample,56.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07349000000000139
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_1500k_hevcnvenc,sample,22.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.070589999999628
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_6000k_hevcnvenc,sample,48.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07019000000111753
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_480p_800k_hevcnvenc,sample,87.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07439000000037232
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_1500k_hevcnvenc,sample,13.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07618999999925613
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_3500k_hevcnvenc,sample,43.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06749000000000116
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_600k_hevcnvenc,sample,77.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04969000000111734
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_1080p_1500k_av1,sample,31.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09499000000000102
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_1080p_5000k_av1,sample,14.0,74.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04959000000149061
