video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14,sample,42.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",57.061001
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_1500k_av1,sample,63.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.018201000017880276
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_5000k_av1,sample,1.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.009700999988078607
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_500k_av1,sample,53.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.02540099997615819
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_10000k_h264_nvenc,sample,15.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.032600999994038204
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_2300k_h264_nvenc,sample,7.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.021098999994039858
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_5300k_h264_nvenc,sample,70.0,55.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.017199000017882327
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_2000k_hevc_nvenc,sample,57.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.016698999988079777
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_6000k_hevc_nvenc,sample,73.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01919899998807928
amt_gaming_vqa_dataset/cvkM47D9mYc_TheSims3_1-14_1080p_800k_hevc_nvenc,sample,22.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.05009899999403977
amt_gaming_vqa_dataset/aOSaIseir1o_SuperMarioRun_0-46_480p_1000k_av1,sample,54.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.005400000005961303
amt_gaming_vqa_dataset/aOSaIseir1o_SuperMarioRun_0-46_480p_1000k_h264_nvenc,sample,15.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01879999998211801
amt_gaming_vqa_dataset/aOSaIseir1o_SuperMarioRun_0-46_480p_800k_hevc_nvenc,sample,88.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01039999997615837
amt_gaming_vqa_dataset/5LLjmi7_HZ0_GuildWars_3-26,sample,4.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.014499999999999957
amt_gaming_vqa_dataset/XCOoVAHBlrs_AngryBirds2_5-12,sample,95.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.02840000000596099
amt_gaming_vqa_dataset/XCOoVAHBlrs_AngryBirds2_5-12_720p_1300k_av1,sample,92.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.006999999999999673
amt_gaming_vqa_dataset/XCOoVAHBlrs_AngryBirds2_5-12_720p_3000k_av1,sample,56.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.004199999988079739
amt_gaming_vqa_dataset/XCOoVAHBlrs_AngryBirds2_5-12_720p_500k_av1,sample,38.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0021000000238426964
amt_gaming_vqa_dataset/XCOoVAHBlrs_AngryBirds2_5-12_720p_1000k_h264_nvenc,sample,67.0,75.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01770000001788219
amt_gaming_vqa_dataset/XCOoVAHBlrs_AngryBirds2_5-12_720p_2500k_h264_nvenc,sample,75.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.013500000000000512
amt_gaming_vqa_dataset/XCOoVAHBlrs_AngryBirds2_5-12_720p_5000k_h264_nvenc,sample,92.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.019999999999999574
amt_gaming_vqa_dataset/XCOoVAHBlrs_AngryBirds2_5-12_720p_1500k_hevc_nvenc,sample,58.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.01950000000000074
