video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2,sample,97.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",6.173400000005959
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_1500k_av1,sample,42.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08338999999105923
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_5000k_av1,sample,24.0,72.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.09538999999105968
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_500k_av1,sample,48.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08318999998807897
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_10000k_av1,sample,40.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.372690000002981
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_1000k_av1,sample,27.0,16.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.1461900000029814
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_5000k_av1,sample,65.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.6709899999999998
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_480p_1000k_av1,sample,85.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06589000000596101
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1300k_av1,sample,81.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07289000000596069
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_3000k_av1,sample,3.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08499000000000123
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_500k_av1,sample,46.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.06778999999701973
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_10000k_h264nvenc,sample,76.0,73.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.07828999999702013
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_2300k_h264nvenc,sample,3.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.069590000008942
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_5300k_h264nvenc,sample,30.0,83.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.069590000008942
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_25000k_h264nvenc,sample,50.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",28.11918999998808
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_5000k_h264nvenc,sample,65.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08629000001192111
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_8500k_h264nvenc,sample,73.0,69.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.10138999999105991
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_480p_1000k_h264nvenc,sample,44.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0708900000059618
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1000k_h264nvenc,sample,7.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06759000000894133
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_2500k_h264nvenc,sample,72.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07039000000596118
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_5000k_h264nvenc,sample,78.0,40.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",4.616490000000001
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_2000k_hevcnvenc,sample,96.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06399000000000044
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_6000k_hevcnvenc,sample,37.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.06859000000894078
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_1080p_800k_hevcnvenc,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_10000k_hevcnvenc,sample,43.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08058999999403937
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_1500k_hevcnvenc,sample,76.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09258999999403983
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_2160p_6000k_hevcnvenc,sample,75.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09848999999999997
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_480p_800k_hevcnvenc,sample,69.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06449000000000105
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_1500k_hevcnvenc,sample,94.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09349000000000096
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_3500k_hevcnvenc,sample,1.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.0659900000000011
amt_gaming_vqa_dataset/Monsterhunterworldiceborne_2_720p_600k_hevcnvenc,sample,48.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",18.70678999999702
amt_gaming_vqa_dataset/Returnal_1,sample,70.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",26.829300000011926
amt_gaming_vqa_dataset/Returnal_1_1080p_1500k_av1,sample,36.0,39.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08478999999702097
amt_gaming_vqa_dataset/Returnal_1_1080p_5000k_av1,sample,29.0,73.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.08778999999702108
amt_gaming_vqa_dataset/Returnal_1_1080p_500k_av1,sample,24.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08289000000596047
amt_gaming_vqa_dataset/Returnal_1_2160p_10000k_av1,sample,55.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.724289999997021
amt_gaming_vqa_dataset/Returnal_1_2160p_1000k_av1,sample,93.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.4778900000059618
amt_gaming_vqa_dataset/Returnal_1_2160p_5000k_av1,sample,58.0,71.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",1.6895900000089412
amt_gaming_vqa_dataset/Returnal_1_480p_1000k_av1,sample,89.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06149000000000093
amt_gaming_vqa_dataset/Returnal_1_720p_1300k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Returnal_1_720p_3000k_av1,sample,72.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07729000001192077
amt_gaming_vqa_dataset/Returnal_1_720p_500k_av1,sample,unset,unset,['unset'],unset
amt_gaming_vqa_dataset/Returnal_1_1080p_10000k_h264nvenc,sample,19.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0708900000059618
amt_gaming_vqa_dataset/Returnal_1_1080p_2300k_h264nvenc,sample,65.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07028999999702101
amt_gaming_vqa_dataset/Returnal_1_1080p_5300k_h264nvenc,sample,16.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07369000000298165
amt_gaming_vqa_dataset/Returnal_1_2160p_25000k_h264nvenc,sample,47.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.5559900000000013
amt_gaming_vqa_dataset/Returnal_1_2160p_5000k_h264nvenc,sample,96.0,42.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07309000000894095
amt_gaming_vqa_dataset/Returnal_1_2160p_8500k_h264nvenc,sample,93.0,51.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06558999999404058
amt_gaming_vqa_dataset/Returnal_1_480p_1000k_h264nvenc,sample,17.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06819000000298026
amt_gaming_vqa_dataset/Returnal_1_720p_1000k_h264nvenc,sample,79.0,8.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07319000000298104
amt_gaming_vqa_dataset/Returnal_1_720p_2500k_h264nvenc,sample,44.0,22.0,"['Minimally Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07428999999702057
amt_gaming_vqa_dataset/Returnal_1_720p_5000k_h264nvenc,sample,66.0,31.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06508999999403997
amt_gaming_vqa_dataset/Returnal_1_1080p_2000k_hevcnvenc,sample,4.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07988999999106028
amt_gaming_vqa_dataset/Returnal_1_1080p_6000k_hevcnvenc,sample,62.0,78.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.0628900000059609
amt_gaming_vqa_dataset/Returnal_1_1080p_800k_hevcnvenc,sample,94.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0761899999880793
amt_gaming_vqa_dataset/Returnal_1_2160p_10000k_hevcnvenc,sample,4.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07749000000000095
amt_gaming_vqa_dataset/Returnal_1_2160p_1500k_hevcnvenc,sample,16.0,31.0,"['Minimally Clear', 'Minor Artifacts Present', 'Low level of immersion', '']",0.07069000000298153
amt_gaming_vqa_dataset/Returnal_1_2160p_6000k_hevcnvenc,sample,38.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06549000000000049
