video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28,sample,31.0,6.0,"['Highly Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",112.65540000000595
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_1500k_av1,sample,50.0,71.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.03709999999403912
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_5000k_av1,sample,66.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05319999998807923
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_500k_av1,sample,7.0,77.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.037499999999999645
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_10000k_h264_nvenc,sample,36.0,70.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.040200000017881266
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_2300k_h264_nvenc,sample,96.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.014700000017882076
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_5300k_h264_nvenc,sample,55.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05599999999999916
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_2000k_hevc_nvenc,sample,53.0,91.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.0005999999940389245
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_6000k_hevc_nvenc,sample,65.0,70.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0033000000119205453
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_800k_hevc_nvenc,sample,4.0,70.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0065000000000008384
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06,sample,45.0,2.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",83.55776700000595
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_1500k_av1,sample,11.0,58.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.024933000011920115
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_5000k_av1,sample,62.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06906700001788124
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_500k_av1,sample,86.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.04323299999403929
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_10000k_h264_nvenc,sample,92.0,50.0,"['Highly Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",2.499867
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_2300k_h264_nvenc,sample,27.0,60.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.02116700001192129
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_5300k_h264_nvenc,sample,77.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01573300002384137
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_2000k_hevc_nvenc,sample,91.0,70.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.004233000023841527
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_6000k_hevc_nvenc,sample,46.0,78.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.006833000017881119
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_800k_hevc_nvenc,sample,12.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.016132999999999953
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58,sample,20.0,30.0,"['Highly Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",11.012156999982118
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1300k_av1,sample,74.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.04314299999999882
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_3000k_av1,sample,77.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.007157000011922321
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_500k_av1,sample,91.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.018843000017881195
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1000k_h264_nvenc,sample,70.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.052757000005961174
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_2500k_h264_nvenc,sample,88.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.02524299999403823
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_5000k_h264_nvenc,sample,60.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.009942999982117229
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1500k_hevc_nvenc,sample,6.0,75.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.012543000005960536
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_3500k_hevc_nvenc,sample,56.0,13.0,"['Highly Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",12.576957000023842
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_600k_hevc_nvenc,sample,57.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.009443000011920333
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00,sample,76.0,29.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",10.62140000000596
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_1500k_av1,sample,80.0,96.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07880000001192045
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_5000k_av1,sample,9.0,71.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.06750000000000078
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_500k_av1,sample,67.0,72.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.05580000001192076
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_10000k_h264_nvenc,sample,unset,unset,['unset'],unset
