video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Kenabridgeofspirits_1,sample,22.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05840000000037193
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_1500k_av1,sample,87.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.048890000000373135
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_5000k_av1,sample,83.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04999000000000109
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_500k_av1,sample,15.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04728999999981376
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_av1,sample,76.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05059000000055924
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_1000k_av1,sample,84.0,39.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04849000000000103
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_5000k_av1,sample,24.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.2717900000007454
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_1000k_av1,sample,33.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.048590000000558575
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1300k_av1,sample,67.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06128999999981488
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_3000k_av1,sample,93.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05059000000055924
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_500k_av1,sample,53.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04918999999925511
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_10000k_h264nvenc,sample,16.0,67.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04999000000000109
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_2300k_h264nvenc,sample,90.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04819000000018647
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_5300k_h264nvenc,sample,1.0,76.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05189000000037325
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_25000k_h264nvenc,sample,37.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0495900000005598
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_5000k_h264nvenc,sample,32.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05008999999962782
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_8500k_h264nvenc,sample,29.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05028999999981387
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_1000k_h264nvenc,sample,97.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07668999999925497
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1000k_h264nvenc,sample,91.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.17949000000000126
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_2500k_h264nvenc,sample,53.0,54.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.08419000000018606
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_5000k_h264nvenc,sample,87.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0516900000001872
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_2000k_hevcnvenc,sample,57.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05249000000000059
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_6000k_hevcnvenc,sample,17.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0516900000001872
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_800k_hevcnvenc,sample,11.0,19.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07669000000018755
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_10000k_hevcnvenc,sample,89.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04849000000000103
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_1500k_hevcnvenc,sample,46.0,38.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10019000000018607
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_6000k_hevcnvenc,sample,67.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07049000000000127
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_800k_hevcnvenc,sample,28.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06699000000000055
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1500k_hevcnvenc,sample,76.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09218999999925614
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_3500k_hevcnvenc,sample,54.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.051190000000186586
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_600k_hevcnvenc,sample,36.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07549000000000028
amt_gaming_vqa_dataset/ZenlessZoneZero,sample,38.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.030899999999441263
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_1500k_av1,sample,57.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07469000000018688
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_5000k_av1,sample,41.0,65.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04969000000018653
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_500k_av1,sample,9.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07648999999999972
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_10000k_av1,sample,64.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05028999999981387
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_1000k_av1,sample,42.0,39.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_5000k_av1,sample,63.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04958999999962721
amt_gaming_vqa_dataset/ZenlessZoneZero_480p_1000k_av1,sample,27.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05028999999981387
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_1300k_av1,sample,58.0,46.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.051289999999815095
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_3000k_av1,sample,7.0,48.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.049089999999628375
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_500k_av1,sample,65.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04598999999999975
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_10000k_h264nvenc,sample,33.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04558999999962765
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_2300k_h264nvenc,sample,93.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.048589999999627764
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_5300k_h264nvenc,sample,17.0,40.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05229000000074535
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_25000k_h264nvenc,sample,47.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0508900000003738
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_5000k_h264nvenc,sample,91.0,25.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08599000000000068
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_8500k_h264nvenc,sample,95.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05179000000074652
amt_gaming_vqa_dataset/ZenlessZoneZero_480p_1000k_h264nvenc,sample,4.0,34.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.049190000000187695
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_1000k_h264nvenc,sample,74.0,2.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050790000000745295
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_2500k_h264nvenc,sample,49.0,39.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.051090000000559854
amt_gaming_vqa_dataset/ZenlessZoneZero_720p_5000k_h264nvenc,sample,18.0,79.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07678999999981428
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_2000k_hevcnvenc,sample,24.0,44.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04969000000018653
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_6000k_hevcnvenc,sample,79.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.048889999999442324
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_800k_hevcnvenc,sample,31.0,20.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05058999999962843
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_10000k_hevcnvenc,sample,64.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04978999999981504
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_1500k_hevcnvenc,sample,46.0,30.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04989000000037258
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_6000k_hevcnvenc,sample,18.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05008999999962782
amt_gaming_vqa_dataset/ZenlessZoneZero_480p_800k_hevcnvenc,sample,38.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06858999999962734
