video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/E585R3AqEp8_CallofDutyMobile_0-07_1080p_1500k_av1,sample,60.0,51.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06670000000018561
amt_gaming_vqa_dataset/E585R3AqEp8_CallofDutyMobile_0-07_1080p_1500k_av1,sample,29.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14789999999990755
amt_gaming_vqa_dataset/kEErvVGP99g_GarrysMod_13-35_720p_2500k_h264_nvenc,sample,84.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09539999999990734
amt_gaming_vqa_dataset/kEErvVGP99g_GarrysMod_13-35_720p_2500k_h264_nvenc,sample,15.0,70.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.019999999999999574
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27_1080p_5000k_av1,sample,47.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.008899999999906427
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27_1080p_5000k_av1,sample,60.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.030100000000093274
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27_1080p_5300k_h264_nvenc,sample,36.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0030000000000001137
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27_1080p_5300k_h264_nvenc,sample,53.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.02320000000018574
amt_gaming_vqa_dataset/rGGoOgwzFKk_Cyberpunk2077_1-21_720p_2500k_h264_nvenc,sample,70.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0012000000001854971
amt_gaming_vqa_dataset/rGGoOgwzFKk_Cyberpunk2077_1-21_720p_2500k_h264_nvenc,sample,15.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.026500000000000412
amt_gaming_vqa_dataset/rGGoOgwzFKk_Cyberpunk2077_1-21_720p_1500k_hevc_nvenc,sample,13.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.009799999999813735
amt_gaming_vqa_dataset/rGGoOgwzFKk_Cyberpunk2077_1-21_720p_1500k_hevc_nvenc,sample,46.0,39.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-0.016600000000092763
