video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/GrandtheftautoV_1,sample,37.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06649999999999956
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_1500k_av1,sample,97.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08449000000000062
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_5000k_av1,sample,53.0,77.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09258999990463401
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_500k_av1,sample,3.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.048289999952316975
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_10000k_av1,sample,83.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.18528999995231743
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_1000k_av1,sample,54.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.5646900000476851
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_5000k_av1,sample,45.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.15299000000000085
amt_gaming_vqa_dataset/GrandtheftautoV_1_480p_1000k_av1,sample,0.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06769000004768344
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_1300k_av1,sample,75.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07228999995231611
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_3000k_av1,sample,78.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07758999990463344
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_500k_av1,sample,80.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06838999997615858
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_10000k_h264nvenc,sample,37.0,68.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.14828999995231662
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_2300k_h264nvenc,sample,93.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10238999997615927
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_5300k_h264nvenc,sample,93.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.10218999992847522
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_25000k_h264nvenc,sample,36.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07868999992847492
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_5000k_h264nvenc,sample,10.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.162389999976158
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_8500k_h264nvenc,sample,18.0,73.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.1703899999761589
amt_gaming_vqa_dataset/GrandtheftautoV_1_480p_1000k_h264nvenc,sample,33.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06988999997615863
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_1000k_h264nvenc,sample,15.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.12748999999999988
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_2500k_h264nvenc,sample,64.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.13619000004768367
amt_gaming_vqa_dataset/GrandtheftautoV_1_720p_5000k_h264nvenc,sample,10.0,69.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07719000004768439
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_2000k_hevcnvenc,sample,7.0,46.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.4384899999999998
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_6000k_hevcnvenc,sample,69.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07328999995231733
amt_gaming_vqa_dataset/GrandtheftautoV_1_1080p_800k_hevcnvenc,sample,68.0,33.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07588999997615886
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_10000k_hevcnvenc,sample,67.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.11378999995231709
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_1500k_hevcnvenc,sample,16.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10819000004768498
amt_gaming_vqa_dataset/GrandtheftautoV_1_2160p_6000k_hevcnvenc,sample,79.0,82.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05459000002384329
amt_gaming_vqa_dataset/GrandtheftautoV_1_480p_800k_hevcnvenc,sample,52.0,49.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07088999997615808
