video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Genshinimpact_2,sample,19.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04399999999999871
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_1500k_av1,sample,11.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04938999999944116
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5000k_av1,sample,29.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07989000000037372
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_500k_av1,sample,39.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04999000000000109
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,sample,69.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0478899999994411
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1000k_av1,sample,28.0,78.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05039000000037319
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_av1,sample,66.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",4.717590000000559
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_av1,sample,97.0,52.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06549000000000049
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1300k_av1,sample,86.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05039000000037319
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3000k_av1,sample,0.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0508900000003738
amt_gaming_vqa_dataset/Genshinimpact_2_720p_500k_av1,sample,13.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05038999999944238
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_10000k_h264nvenc,sample,21.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05028999999981387
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2300k_h264nvenc,sample,94.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.050590000001490054
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5300k_h264nvenc,sample,12.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.048789999999813816
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_25000k_h264nvenc,sample,65.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04938999999851035
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_h264nvenc,sample,87.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04959000000149061
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_8500k_h264nvenc,sample,30.0,43.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.15999000000000052
amt_gaming_vqa_dataset/Genshinimpact_2_480p_1000k_h264nvenc,sample,23.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",-7.450210000000186
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1000k_h264nvenc,sample,13.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04898999999999987
amt_gaming_vqa_dataset/Genshinimpact_2_720p_2500k_h264nvenc,sample,31.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05578999999981349
amt_gaming_vqa_dataset/Genshinimpact_2_720p_5000k_h264nvenc,sample,59.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04949000000000048
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2000k_hevcnvenc,sample,20.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04969000000018653
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_6000k_hevcnvenc,sample,60.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.050690000000185975
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_800k_hevcnvenc,sample,8.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04898999999999987
