video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/Godofwar_1,sample,65.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0564000000357634
amt_gaming_vqa_dataset/Godofwar_1_1080p_1500k_av1,sample,57.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07989000003576407
amt_gaming_vqa_dataset/Godofwar_1_1080p_5000k_av1,sample,10.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05218999998808016
amt_gaming_vqa_dataset/Godofwar_1_1080p_500k_av1,sample,34.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07759000002384298
amt_gaming_vqa_dataset/Godofwar_1_2160p_10000k_av1,sample,92.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.11309000002384195
amt_gaming_vqa_dataset/Godofwar_1_2160p_1000k_av1,sample,97.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09238999997615949
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_av1,sample,6.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09189000003576275
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_av1,sample,12.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.07648999999999972
amt_gaming_vqa_dataset/Godofwar_1_720p_1300k_av1,sample,4.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09409000002384182
amt_gaming_vqa_dataset/Godofwar_1_720p_3000k_av1,sample,17.0,69.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08039000003576291
amt_gaming_vqa_dataset/Godofwar_1_720p_500k_av1,sample,96.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.06279000001192081
amt_gaming_vqa_dataset/Godofwar_1_1080p_10000k_h264nvenc,sample,53.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08768999998807914
amt_gaming_vqa_dataset/Godofwar_1_1080p_2300k_h264nvenc,sample,85.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.09168999998808047
amt_gaming_vqa_dataset/Godofwar_1_1080p_5300k_h264nvenc,sample,95.0,81.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0990900000238426
amt_gaming_vqa_dataset/Godofwar_1_2160p_25000k_h264nvenc,sample,38.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.125490000000001
amt_gaming_vqa_dataset/Godofwar_1_2160p_5000k_h264nvenc,sample,85.0,71.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.1911899999880795
amt_gaming_vqa_dataset/Godofwar_1_2160p_8500k_h264nvenc,sample,50.0,70.0,"['Highly Clear', 'Minor Artifacts Present', 'High level of immersion', '']",0.08429000001192222
amt_gaming_vqa_dataset/Godofwar_1_480p_1000k_h264nvenc,sample,20.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07038999997615925
amt_gaming_vqa_dataset/Godofwar_1_720p_1000k_h264nvenc,sample,54.0,29.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09949000000000119
amt_gaming_vqa_dataset/Godofwar_1_720p_2500k_h264nvenc,sample,27.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.09409000002384182
amt_gaming_vqa_dataset/Godofwar_1_720p_5000k_h264nvenc,sample,94.0,83.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0786899999880788
