video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/X1nYdnUWzEE_Gardenscapes_20-57_480p_1000k_av1,sample,36.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.036599999904632696
amt_gaming_vqa_dataset/X1nYdnUWzEE_Gardenscapes_20-57_480p_1000k_h264_nvenc,sample,83.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.03720000004768309
amt_gaming_vqa_dataset/X1nYdnUWzEE_Gardenscapes_20-57_480p_800k_hevc_nvenc,sample,33.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.004400000095367673
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_15-02_480p_1000k_av1,sample,2.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.0005000000000006111
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_15-02_480p_1000k_h264_nvenc,sample,16.0,71.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.001299999952316
amt_gaming_vqa_dataset/y_75vBBJ_1n0s_FallGuys_15-02_480p_800k_hevc_nvenc,sample,5.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.011499999999999844
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00,sample,25.0,9.0,"['Highly Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",171.72190000009536
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_1300k_av1,sample,56.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.012000000000000455
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_3000k_av1,sample,98.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.021899999856948682
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_500k_av1,sample,55.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0070999999046321705
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_1000k_h264_nvenc,sample,40.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.014700000047684014
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_2500k_h264_nvenc,sample,47.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.004400000095367673
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_5000k_h264_nvenc,sample,17.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.009700000047683233
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_1500k_hevc_nvenc,sample,10.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.009899999856948227
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_3500k_hevc_nvenc,sample,46.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0013000001907350622
amt_gaming_vqa_dataset/JQE8saholDA_GarrysMod_1-00_720p_600k_hevc_nvenc,sample,82.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.008700000047683787
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00,sample,96.0,7.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",41.636710999952314
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_1300k_av1,sample,4.0,72.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.06101100014305061
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_3000k_av1,sample,85.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06341100000000033
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_500k_av1,sample,63.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04361100004768481
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_1000k_h264_nvenc,sample,99.0,61.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04991099999999982
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_2500k_h264_nvenc,sample,7.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.015210999952316229
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_5000k_h264_nvenc,sample,63.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.012711000190735788
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_1500k_hevc_nvenc,sample,56.0,86.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05291099999999993
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_3500k_hevc_nvenc,sample,99.0,92.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.012811000095368286
amt_gaming_vqa_dataset/NFMrcGpbAFw_IceAgeVillage_9-00_720p_600k_hevc_nvenc,sample,56.0,68.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.003911000000000442
amt_gaming_vqa_dataset/y_ZMN7neUo3Fk_EuroTruckSimulator2_7-38_480p_1000k_av1,sample,23.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.034000000000000696
amt_gaming_vqa_dataset/y_ZMN7neUo3Fk_EuroTruckSimulator2_7-38_480p_1000k_h264_nvenc,sample,97.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.003800000190734565
amt_gaming_vqa_dataset/y_ZMN7neUo3Fk_EuroTruckSimulator2_7-38_480p_800k_hevc_nvenc,sample,35.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.02549999999999919
amt_gaming_vqa_dataset/llMU1DXmfuU_CallofDutyMobile_1-03,sample,23.0,1.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",20.899799999952315
amt_gaming_vqa_dataset/2FQ9qkN74MQ_FIFA_7-14,sample,9.0,0.0,"['Moderately Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",351.05519999980925
amt_gaming_vqa_dataset/2FQ9qkN74MQ_FIFA_7-14_1080p_1500k_av1,sample,22.0,77.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.10120000004768315
amt_gaming_vqa_dataset/2FQ9qkN74MQ_FIFA_7-14_1080p_5000k_av1,sample,9.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.011699999809264838
