video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28,sample,8.0,64.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.13609999999403932
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_1500k_av1,sample,59.0,45.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.060399999976157304
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_5000k_av1,sample,30.0,74.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",-0.012899999976157872
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_500k_av1,sample,28.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.030900000005960493
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_10000k_h264_nvenc,sample,75.0,88.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.057000000000000384
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_2300k_h264_nvenc,sample,97.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",-0.028399999976157275
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_5300k_h264_nvenc,sample,81.0,68.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.05870000001788078
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_2000k_hevc_nvenc,sample,76.0,71.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",-0.01709999999403955
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_6000k_hevc_nvenc,sample,64.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.05659999999403986
amt_gaming_vqa_dataset/AA34ltB6fC0_StarCraft_2-28_1080p_800k_hevc_nvenc,sample,91.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.04220000001788193
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06,sample,81.0,85.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.205466999994039
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_1500k_av1,sample,86.0,68.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-0.029333000017880195
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_5000k_av1,sample,48.0,99.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.01676699997615927
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_500k_av1,sample,47.0,21.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.021867000000000303
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_10000k_h264_nvenc,sample,51.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.02336700000000036
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_2300k_h264_nvenc,sample,58.0,64.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05086700000000022
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_5300k_h264_nvenc,sample,76.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.035167000011920635
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_2000k_hevc_nvenc,sample,85.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.030667000011920464
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_6000k_hevc_nvenc,sample,19.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.024366999999999805
amt_gaming_vqa_dataset/t5lUJh96CmY_Cyberpunk2077_23-06_1080p_800k_hevc_nvenc,sample,30.0,50.0,"['Minimally Clear', 'Severe Artifacts Present', 'Moderate level of immersion', '']",0.02746699999404001
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58,sample,36.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.01935700000000118
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1300k_av1,sample,1.0,80.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04295699999403979
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_3000k_av1,sample,61.0,94.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.006956999994040203
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_500k_av1,sample,4.0,43.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.017656999982119004
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1000k_h264_nvenc,sample,74.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.014256999976158369
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_2500k_h264_nvenc,sample,26.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.024956999994040885
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_5000k_h264_nvenc,sample,3.0,98.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.04275700000596139
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_1500k_hevc_nvenc,sample,27.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.02955699998807937
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_3500k_hevc_nvenc,sample,0.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.03435699999999997
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_1-58_720p_600k_hevc_nvenc,sample,71.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.04955699998807894
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00,sample,11.0,63.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.04989999997615868
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_1500k_av1,sample,32.0,55.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.03999999999999915
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_5000k_av1,sample,75.0,93.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.028599999994039393
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_500k_av1,sample,83.0,22.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.015699999988079583
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_10000k_h264_nvenc,sample,16.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.03889999997615767
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_2300k_h264_nvenc,sample,13.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.026800000011920844
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_5300k_h264_nvenc,sample,88.0,72.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.03550000000000075
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_2000k_hevc_nvenc,sample,95.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03409999999403901
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_6000k_hevc_nvenc,sample,64.0,73.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.04349999999999987
amt_gaming_vqa_dataset/n-haYz430-A_Valheim_9-00_1080p_800k_hevc_nvenc,sample,28.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0388000000119213
amt_gaming_vqa_dataset/oiFIE3f5_vM_Minecraft_6-27,sample,88.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.03559999999403907
amt_gaming_vqa_dataset/oiFIE3f5_vM_Minecraft_6-27_480p_1000k_av1,sample,5.0,45.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.014400000005959868
