HIT_ID,Worker_ID,Assignment_ID,Sample_Row_Name,Sample_Row_Index,Unique_HIT_Index,Unset,Stalls,ConsSD,DiffSD,repeatDiffs,Goldcount,goldDiffs
3IVKZBIBKQ069AMPI29PDKLYWR8SHN,AZBJ3AH4LMJW9,34FNN24DDD0TCNCX6856UT24C76Y5P,row_0,0,0,6,1,21.812786719488205,31.881720430107528,"[11.0, 5.0, 18.0, 2.0, 9.0, 1.0]",4,"[18.53, 37.17, 27.310000000000002, 7.569999999999993]"
3IVKZBIBKQ069AMPI29PDKLYWR8SHN,A4WQVX35SONQ9,3TS1AR6URH52Z09LPBSF3S9KWVVF7T,row_0,0,0,32,1,7.8218367073587025,26.136363636363637,"[13.0, 6.0, 17.0, 25.0, 16.0]",4,"[15.469999999999999, 27.83, 3.3100000000000023, 36.43000000000001]"
3IVKZBIBKQ069AMPI29PDKLYWR8SHN,A2COHYO0JHGJKG,3Z9WI9EO0QFA8B7B3V5OAIQJJ14KHD,row_0,0,0,32,1,7.922953136902302,29.242424242424242,"[2.0, 3.0, 1.0, 18.0, 0.0]",4,"[33.47, 23.83, 4.689999999999998, 22.430000000000007]"
31MBOZ6PBEISOPGJC1YNQ7ANR5VLCT,AQTP7NEWCUGIX,3PZDLQMM1KCOANS5SXLJZV79P9IC2F,row_0,0,0,32,0,7.6573934815398825,27.59090909090909,"[18.0, 12.0, 1.0, 8.0, 15.0, 3.0, 5.0]",4,"[42.47, 15.829999999999998, 5.689999999999998, 3.430000000000007]"
31MBOZ6PBEISOPGJC1YNQ7ANR5VLCT,A1W06GIYOJMSAK,3QECW5O0L8SXV1D3W2I7MCAPX555TO,row_0,0,0,6,7,21.982686930512717,31.881720430107528,"[8.0, 2.0, 30.0, 7.0, 15.0, 4.0]",4,"[3.530000000000001, 24.17, 26.689999999999998, 16.430000000000007]"
338GLSUI5T2MVEVJNCLPAZ9LGCVFSC,A8FDO3RM1NQLE,3Y9N9SS8MP2N0XU2WTUZ2BUJGNX3DK,row_0,0,0,6,4,14.142160150479754,32.204301075268816,"[0.0, 5.0, 21.0, 3.0, 12.0, 9.0]",4,"[17.53, 37.17, 9.689999999999998, 7.569999999999993]"
3Z3R5YC0QTENAE8YCCQFK457IV9FT1,AFT6VDMD6VGDG,3H0W84IWCBTKB5T43E6FQRFKMEARE3,row_0,0,0,33,16,10.848783096483965,40.323076923076925,"[9.0, 3.0, 24.0, 1.0, 6.0, 15.0]",4,"[54.47, 22.83, 13.310000000000002, 18.430000000000007]"
3Z3R5YC0QTENAE8YCCQFK457IV9FT1,A12NS0H1M6YP3B,3OHYZ19UH3WEOFKCVHNP0DKOQC8AOY,row_0,0,0,32,0,7.646412940326627,38.28787878787879,"[11.0, 2.0, 4.0, 7.0, 8.0, 13.0]",4,"[62.47, 38.83, 2.3100000000000023, 43.43000000000001]"
3Z3R5YC0QTENAE8YCCQFK457IV9FT1,A4WQVX35SONQ9,3SBEHTYCXEU5OB7CDSO0J269HTZIY6,row_0,0,0,32,0,5.77026114506764,39.72727272727273,"[1.0, 2.0, 22.0, 6.0]",4,"[67.47, 43.83, 10.310000000000002, 6.430000000000007]"
3Z3R5YC0QTENAE8YCCQFK457IV9FT1,AZBJ3AH4LMJW9,3U5JL4WY6B0MGZINN70U6NPHA5F4XI,row_0,0,0,6,0,16.543890478808724,27.43010752688172,"[12.0, 5.0, 1.0, 14.0, 3.0, 8.0]",4,"[18.53, 37.17, 27.310000000000002, 7.569999999999993]"
