video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/callofdutyps5,sample,75.0,50.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",3.333
amt_gaming_vqa_dataset/callofdutyps5_1080p_1500k_av1,sample,23.0,50.0,"['Highly Clear', 'No visible artifacts', 'Low level of immersion', '']",0.6659900000000007
amt_gaming_vqa_dataset/callofdutyps5_1080p_5000k_av1,sample,93.0,66.0,"['Highly Clear', 'No visible artifacts', 'Low level of immersion', '']",0.92699
amt_gaming_vqa_dataset/callofdutyps5_1080p_500k_av1,sample,97.0,59.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.7789900000000003
amt_gaming_vqa_dataset/callofdutyps5_2160p_10000k_av1,sample,99.0,59.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",5.62499
amt_gaming_vqa_dataset/callofdutyps5_2160p_1000k_av1,sample,77.0,58.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",1.3109900000000003
amt_gaming_vqa_dataset/callofdutyps5_2160p_5000k_av1,sample,54.0,60.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",3.7309900000000003
amt_gaming_vqa_dataset/callofdutyps5_480p_1000k_av1,sample,43.0,59.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.33499000000000123
amt_gaming_vqa_dataset/callofdutyps5_720p_1300k_av1,sample,99.0,50.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.4399899999999999
amt_gaming_vqa_dataset/callofdutyps5_720p_3000k_av1,sample,32.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.6389899999999997
amt_gaming_vqa_dataset/callofdutyps5_720p_500k_av1,sample,65.0,42.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.4669900000000009
amt_gaming_vqa_dataset/callofdutyps5_1080p_10000k_h264nvenc,sample,99.0,61.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",1.17699
amt_gaming_vqa_dataset/callofdutyps5_1080p_2300k_h264nvenc,sample,30.0,50.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.3359900000000007
amt_gaming_vqa_dataset/callofdutyps5_1080p_5300k_h264nvenc,sample,63.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.5379900000000006
amt_gaming_vqa_dataset/callofdutyps5_2160p_25000k_h264nvenc,sample,42.0,63.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.9659900000000015
amt_gaming_vqa_dataset/callofdutyps5_2160p_5000k_h264nvenc,sample,65.0,42.0,"['Moderately Clear', 'No visible artifacts', 'Low level of immersion', '']",1.05499
amt_gaming_vqa_dataset/callofdutyps5_2160p_8500k_h264nvenc,sample,83.0,60.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",1.59699
amt_gaming_vqa_dataset/callofdutyps5_480p_1000k_h264nvenc,sample,57.0,51.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.6229899999999997
amt_gaming_vqa_dataset/callofdutyps5_720p_1000k_h264nvenc,sample,65.0,49.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.5669900000000005
amt_gaming_vqa_dataset/callofdutyps5_720p_2500k_h264nvenc,sample,90.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.6339900000000007
amt_gaming_vqa_dataset/callofdutyps5_720p_5000k_h264nvenc,sample,72.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.6899899999999999
amt_gaming_vqa_dataset/callofdutyps5_1080p_2000k_hevcnvenc,sample,12.0,44.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.0729900000000008
amt_gaming_vqa_dataset/callofdutyps5_1080p_6000k_hevcnvenc,sample,92.0,28.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.049990000000001
amt_gaming_vqa_dataset/callofdutyps5_1080p_800k_hevcnvenc,sample,66.0,29.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.299990000000001
amt_gaming_vqa_dataset/callofdutyps5_2160p_10000k_hevcnvenc,sample,25.0,29.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.6359900000000014
amt_gaming_vqa_dataset/callofdutyps5_2160p_1500k_hevcnvenc,sample,98.0,29.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.8089900000000014
amt_gaming_vqa_dataset/callofdutyps5_2160p_6000k_hevcnvenc,sample,25.0,17.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.3369900000000001
amt_gaming_vqa_dataset/callofdutyps5_480p_800k_hevcnvenc,sample,8.0,28.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.4959900000000008
amt_gaming_vqa_dataset/callofdutyps5_720p_1500k_hevcnvenc,sample,50.0,28.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.4599900000000012
amt_gaming_vqa_dataset/callofdutyps5_720p_3500k_hevcnvenc,sample,90.0,27.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.1419899999999998
amt_gaming_vqa_dataset/callofdutyps5_720p_600k_hevcnvenc,sample,42.0,28.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.501990000000001
amt_gaming_vqa_dataset/Faastpenguin_2,sample,57.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",23.203
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_1500k_av1,sample,29.0,60.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.8979900000000001
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_5000k_av1,sample,24.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.671990000000001
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_500k_av1,sample,7.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.7099900000000012
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_10000k_av1,sample,24.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",4.79799
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_1000k_av1,sample,48.0,62.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.828990000000001
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_5000k_av1,sample,4.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",3.6809900000000013
amt_gaming_vqa_dataset/Faastpenguin_2_480p_1000k_av1,sample,10.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.58399
amt_gaming_vqa_dataset/Faastpenguin_2_720p_1300k_av1,sample,56.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.7399900000000006
amt_gaming_vqa_dataset/Faastpenguin_2_720p_3000k_av1,sample,74.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.6219900000000003
amt_gaming_vqa_dataset/Faastpenguin_2_720p_500k_av1,sample,32.0,51.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.5269900000000014
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_10000k_h264nvenc,sample,17.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.7829899999999999
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_2300k_h264nvenc,sample,20.0,72.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.7789900000000003
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_5300k_h264nvenc,sample,29.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.3829900000000013
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_25000k_h264nvenc,sample,74.0,70.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.216990000000001
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_5000k_h264nvenc,sample,63.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.86599
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_8500k_h264nvenc,sample,30.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.2829899999999999
amt_gaming_vqa_dataset/Faastpenguin_2_480p_1000k_h264nvenc,sample,27.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.5579900000000002
amt_gaming_vqa_dataset/Faastpenguin_2_720p_1000k_h264nvenc,sample,78.0,49.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.3149899999999999
amt_gaming_vqa_dataset/Faastpenguin_2_720p_2500k_h264nvenc,sample,22.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.80199
amt_gaming_vqa_dataset/Faastpenguin_2_720p_5000k_h264nvenc,sample,56.0,63.0,"['Highly Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.703990000000001
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_2000k_hevcnvenc,sample,8.0,29.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.3539900000000014
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_6000k_hevcnvenc,sample,45.0,29.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.9979899999999997
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_800k_hevcnvenc,sample,74.0,29.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.565990000000001
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_10000k_hevcnvenc,sample,34.0,28.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.6979900000000008
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_1500k_hevcnvenc,sample,5.0,30.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.4319900000000008
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_6000k_hevcnvenc,sample,0.0,30.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.9409900000000011
amt_gaming_vqa_dataset/Faastpenguin_2_480p_800k_hevcnvenc,sample,60.0,28.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.7339900000000004
amt_gaming_vqa_dataset/Faastpenguin_2_720p_1500k_hevcnvenc,sample,66.0,29.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",1.38199
amt_gaming_vqa_dataset/Faastpenguin_2_720p_3500k_hevcnvenc,sample,40.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.8909900000000004
amt_gaming_vqa_dataset/Faastpenguin_2_720p_600k_hevcnvenc,sample,65.0,28.0,"['Minimally Clear', 'No visible artifacts', 'Low level of immersion', '']",0.7659900000000004
amt_gaming_vqa_dataset/Ghostoftsushima_1,sample,43.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",20.860999999999997
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_1500k_av1,sample,20.0,39.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.8189900000000012
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_5000k_av1,sample,29.0,40.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.39799000000000007
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_500k_av1,sample,10.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.39498999999999995
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_10000k_av1,sample,33.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",5.847990000000001
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_1000k_av1,sample,8.0,49.0,"['Minimally Clear', 'No visible artifacts', 'Moderate level of immersion', '']",1.1619900000000012
amt_gaming_vqa_dataset/Ghostoftsushima_1_2160p_5000k_av1,sample,24.0,50.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",3.8269900000000003
amt_gaming_vqa_dataset/Ghostoftsushima_1_480p_1000k_av1,sample,97.0,50.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.4399899999999999
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_1300k_av1,sample,70.0,50.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.8069900000000008
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_3000k_av1,sample,2.0,71.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.5819900000000011
amt_gaming_vqa_dataset/Ghostoftsushima_1_720p_500k_av1,sample,65.0,50.0,"['Moderately Clear', 'No visible artifacts', 'High level of immersion', '']",0.5059900000000006
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_10000k_h264nvenc,sample,91.0,51.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.6889900000000004
amt_gaming_vqa_dataset/Ghostoftsushima_1_1080p_2300k_h264nvenc,sample,52.0,60.0,"['Moderately Clear', 'No visible artifacts', 'Moderate level of immersion', '']",0.5299899999999997
