video_name,category,init_val,final_val,attributes,delay
amt_gaming_vqa_dataset/eFootball_2,sample,89.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.0453000000007453
amt_gaming_vqa_dataset/eFootball_2_1080p_1500k_av1,sample,45.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09668999999925632
amt_gaming_vqa_dataset/eFootball_2_1080p_5000k_av1,sample,35.0,72.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.1066899999992561
amt_gaming_vqa_dataset/eFootball_2_1080p_500k_av1,sample,84.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08639000000223618
amt_gaming_vqa_dataset/eFootball_2_2160p_10000k_av1,sample,53.0,45.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.5489899999999999
amt_gaming_vqa_dataset/eFootball_2_2160p_1000k_av1,sample,99.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.2781900000029811
amt_gaming_vqa_dataset/eFootball_2_2160p_5000k_av1,sample,11.0,89.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.9073900000022359
amt_gaming_vqa_dataset/eFootball_2_480p_1000k_av1,sample,76.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07529000000074504
amt_gaming_vqa_dataset/eFootball_2_720p_1300k_av1,sample,55.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05179000000074652
amt_gaming_vqa_dataset/eFootball_2_720p_3000k_av1,sample,45.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0915899999977654
amt_gaming_vqa_dataset/eFootball_2_720p_500k_av1,sample,38.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07829000000074515
amt_gaming_vqa_dataset/eFootball_2_1080p_10000k_h264nvenc,sample,56.0,74.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.055290000000745465
amt_gaming_vqa_dataset/eFootball_2_1080p_2300k_h264nvenc,sample,53.0,7.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07349000000000139
amt_gaming_vqa_dataset/eFootball_2_1080p_5300k_h264nvenc,sample,52.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07179000000074609
amt_gaming_vqa_dataset/eFootball_2_2160p_25000k_h264nvenc,sample,43.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09668999999925632
amt_gaming_vqa_dataset/eFootball_2_2160p_5000k_h264nvenc,sample,88.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.14728999999702097
amt_gaming_vqa_dataset/eFootball_2_2160p_8500k_h264nvenc,sample,44.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08649000000000129
amt_gaming_vqa_dataset/eFootball_2_480p_1000k_h264nvenc,sample,83.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07628999999702124
amt_gaming_vqa_dataset/eFootball_2_720p_1000k_h264nvenc,sample,62.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06449000000000105
amt_gaming_vqa_dataset/eFootball_2_720p_2500k_h264nvenc,sample,68.0,18.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07099000000000011
amt_gaming_vqa_dataset/eFootball_2_720p_5000k_h264nvenc,sample,4.0,23.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0747900000007462
amt_gaming_vqa_dataset/eFootball_2_1080p_2000k_hevcnvenc,sample,5.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07418999999925546
amt_gaming_vqa_dataset/eFootball_2_1080p_6000k_hevcnvenc,sample,42.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10199000000000069
amt_gaming_vqa_dataset/eFootball_2_1080p_800k_hevcnvenc,sample,45.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06149000000000093
amt_gaming_vqa_dataset/eFootball_2_2160p_10000k_hevcnvenc,sample,96.0,71.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07458999999776594
amt_gaming_vqa_dataset/eFootball_2_2160p_1500k_hevcnvenc,sample,70.0,15.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07308999999776589
amt_gaming_vqa_dataset/eFootball_2_2160p_6000k_hevcnvenc,sample,55.0,66.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07099000000000011
amt_gaming_vqa_dataset/eFootball_2_480p_800k_hevcnvenc,sample,96.0,6.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07199000000000133
amt_gaming_vqa_dataset/eFootball_2_720p_1500k_hevcnvenc,sample,96.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07288999999851065
amt_gaming_vqa_dataset/eFootball_2_720p_3500k_hevcnvenc,sample,60.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07318999999925602
amt_gaming_vqa_dataset/eFootball_2_720p_600k_hevcnvenc,sample,52.0,1.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07199000000000133
amt_gaming_vqa_dataset/WWE2K24,sample,57.0,100.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.06219999999925463
amt_gaming_vqa_dataset/WWE2K24_1080p_1500k_av1,sample,7.0,13.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.10109000000149138
amt_gaming_vqa_dataset/WWE2K24_1080p_5000k_av1,sample,39.0,78.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10889000000223525
amt_gaming_vqa_dataset/WWE2K24_1080p_500k_av1,sample,52.0,11.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08758999999776584
amt_gaming_vqa_dataset/WWE2K24_2160p_10000k_av1,sample,12.0,97.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",2.531689999999255
amt_gaming_vqa_dataset/WWE2K24_2160p_1000k_av1,sample,3.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.27959000000149103
amt_gaming_vqa_dataset/WWE2K24_2160p_5000k_av1,sample,31.0,87.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",1.07099
amt_gaming_vqa_dataset/WWE2K24_480p_1000k_av1,sample,91.0,26.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08059000000149119
amt_gaming_vqa_dataset/WWE2K24_720p_1300k_av1,sample,20.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07718999999925558
amt_gaming_vqa_dataset/WWE2K24_720p_3000k_av1,sample,10.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0982899999970197
amt_gaming_vqa_dataset/WWE2K24_720p_500k_av1,sample,40.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07449000000000083
amt_gaming_vqa_dataset/WWE2K24_1080p_10000k_h264nvenc,sample,56.0,82.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07559000000149041
amt_gaming_vqa_dataset/WWE2K24_1080p_2300k_h264nvenc,sample,37.0,3.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07378999999701996
amt_gaming_vqa_dataset/WWE2K24_1080p_5300k_h264nvenc,sample,90.0,56.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07149000000000072
amt_gaming_vqa_dataset/WWE2K24_2160p_25000k_h264nvenc,sample,17.0,90.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.08418999999925525
amt_gaming_vqa_dataset/WWE2K24_2160p_5000k_h264nvenc,sample,87.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.5153899999985097
amt_gaming_vqa_dataset/WWE2K24_2160p_8500k_h264nvenc,sample,30.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.13629000000074498
amt_gaming_vqa_dataset/WWE2K24_480p_1000k_h264nvenc,sample,80.0,9.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09258999999776485
amt_gaming_vqa_dataset/WWE2K24_720p_1000k_h264nvenc,sample,58.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06809000000149013
amt_gaming_vqa_dataset/WWE2K24_720p_2500k_h264nvenc,sample,92.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07109000000149024
amt_gaming_vqa_dataset/WWE2K24_720p_5000k_h264nvenc,sample,88.0,60.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07249000000000017
amt_gaming_vqa_dataset/WWE2K24_1080p_2000k_hevcnvenc,sample,70.0,33.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05858999999776593
amt_gaming_vqa_dataset/WWE2K24_1080p_6000k_hevcnvenc,sample,31.0,91.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07489000000223633
amt_gaming_vqa_dataset/WWE2K24_1080p_800k_hevcnvenc,sample,33.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07038999999851114
amt_gaming_vqa_dataset/WWE2K24_2160p_10000k_hevcnvenc,sample,10.0,95.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.07369000000298165
amt_gaming_vqa_dataset/WWE2K24_2160p_1500k_hevcnvenc,sample,16.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07279000000074554
amt_gaming_vqa_dataset/WWE2K24_2160p_6000k_hevcnvenc,sample,75.0,59.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07339000000223628
amt_gaming_vqa_dataset/WWE2K24_480p_800k_hevcnvenc,sample,71.0,10.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.3163899999985098
amt_gaming_vqa_dataset/WWE2K24_720p_1500k_hevcnvenc,sample,42.0,5.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0747900000007462
amt_gaming_vqa_dataset/WWE2K24_720p_3500k_hevcnvenc,sample,92.0,53.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05688999999851063
amt_gaming_vqa_dataset/WWE2K24_720p_600k_hevcnvenc,sample,50.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08049000000000106
amt_gaming_vqa_dataset/Godofwar_2,sample,36.0,84.0,"['Highly Clear', 'No visible artifacts', 'High level of immersion', '']",0.037300000000744404
amt_gaming_vqa_dataset/Godofwar_2_1080p_1500k_av1,sample,44.0,32.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.11458999999776509
amt_gaming_vqa_dataset/Godofwar_2_1080p_5000k_av1,sample,22.0,57.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.10268999999925477
amt_gaming_vqa_dataset/Godofwar_2_1080p_500k_av1,sample,64.0,3.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0907899999970212
amt_gaming_vqa_dataset/Godofwar_2_2160p_10000k_av1,sample,55.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",1.716990000000001
amt_gaming_vqa_dataset/Godofwar_2_2160p_1000k_av1,sample,18.0,14.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.3732900000007451
amt_gaming_vqa_dataset/Godofwar_2_2160p_5000k_av1,sample,29.0,35.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",1.2339900000000004
amt_gaming_vqa_dataset/Godofwar_2_480p_1000k_av1,sample,72.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.09359000000149109
amt_gaming_vqa_dataset/Godofwar_2_720p_1300k_av1,sample,74.0,12.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07468999999925607
amt_gaming_vqa_dataset/Godofwar_2_720p_3000k_av1,sample,79.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.09499000000000102
amt_gaming_vqa_dataset/Godofwar_2_720p_500k_av1,sample,78.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07749000000000095
amt_gaming_vqa_dataset/Godofwar_2_1080p_10000k_h264nvenc,sample,52.0,69.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.05799000000000021
amt_gaming_vqa_dataset/Godofwar_2_1080p_2300k_h264nvenc,sample,30.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0793900000022365
amt_gaming_vqa_dataset/Godofwar_2_1080p_5300k_h264nvenc,sample,93.0,35.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.055290000000745465
amt_gaming_vqa_dataset/Godofwar_2_2160p_25000k_h264nvenc,sample,50.0,63.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.20448999999999984
amt_gaming_vqa_dataset/Godofwar_2_2160p_5000k_h264nvenc,sample,13.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.19649000000000072
amt_gaming_vqa_dataset/Godofwar_2_2160p_8500k_h264nvenc,sample,0.0,31.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",-8.577910000002234
amt_gaming_vqa_dataset/Godofwar_2_480p_1000k_h264nvenc,sample,58.0,24.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07279000000074554
amt_gaming_vqa_dataset/Godofwar_2_720p_1000k_h264nvenc,sample,57.0,0.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06958999999776516
amt_gaming_vqa_dataset/Godofwar_2_720p_2500k_h264nvenc,sample,20.0,17.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.0763899999985096
amt_gaming_vqa_dataset/Godofwar_2_720p_5000k_h264nvenc,sample,31.0,58.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.07108999999776522
amt_gaming_vqa_dataset/Godofwar_2_1080p_2000k_hevcnvenc,sample,10.0,31.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.07068999999925474
amt_gaming_vqa_dataset/Godofwar_2_1080p_6000k_hevcnvenc,sample,35.0,82.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.11038999999851029
amt_gaming_vqa_dataset/Godofwar_2_1080p_800k_hevcnvenc,sample,10.0,4.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.06999000000000066
amt_gaming_vqa_dataset/Godofwar_2_2160p_10000k_hevcnvenc,sample,56.0,76.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.054689999999254724
amt_gaming_vqa_dataset/Godofwar_2_2160p_1500k_hevcnvenc,sample,10.0,50.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.0747900000007462
amt_gaming_vqa_dataset/Godofwar_2_2160p_6000k_hevcnvenc,sample,67.0,85.0,"['Moderately Clear', 'Minor Artifacts Present', 'Moderate level of immersion', '']",0.055890000002236206
amt_gaming_vqa_dataset/Godofwar_2_480p_800k_hevcnvenc,sample,51.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05198999999999998
amt_gaming_vqa_dataset/Godofwar_2_720p_1500k_hevcnvenc,sample,53.0,28.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.05189000000223665
amt_gaming_vqa_dataset/Godofwar_2_720p_3500k_hevcnvenc,sample,49.0,41.0,"['Minimally Clear', 'Severe Artifacts Present', 'Low level of immersion', '']",0.08188999999851099
